 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C.txt

 Ion = Strontium [38] , Mass = 95.923 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 250.00 keV   3.029E+02  7.832E+02    2421 A       310 A       278 A   
 275.00 keV   3.134E+02  7.653E+02    2644 A       334 A       300 A   
 300.00 keV   3.211E+02  7.482E+02    2869 A       357 A       322 A   
 325.00 keV   3.279E+02  7.318E+02    3096 A       380 A       344 A   
 350.00 keV   3.347E+02  7.161E+02    3326 A       403 A       366 A   
 375.00 keV   3.419E+02  7.011E+02    3557 A       425 A       388 A   
 400.00 keV   3.499E+02  6.868E+02    3791 A       447 A       409 A   
 450.00 keV   3.679E+02  6.600E+02    4261 A       493 A       453 A   
 500.00 keV   3.882E+02  6.355E+02    4735 A       537 A       495 A   
 550.00 keV   4.100E+02  6.130E+02    5210 A       580 A       538 A   
 600.00 keV   4.328E+02  5.923E+02    5686 A       621 A       580 A   
 650.00 keV   4.558E+02  5.731E+02    6160 A       661 A       621 A   
 700.00 keV   4.786E+02  5.554E+02    6633 A       700 A       662 A   
 800.00 keV   5.225E+02  5.235E+02    7572 A       778 A       741 A   
 900.00 keV   5.630E+02  4.956E+02    8502 A       850 A       818 A   
   1.00 MeV   5.994E+02  4.711E+02    9421 A       917 A       892 A   
   1.10 MeV   6.320E+02  4.492E+02    1.03 um      981 A       964 A   
   1.20 MeV   6.611E+02  4.296E+02    1.12 um     1040 A      1033 A   
   1.30 MeV   6.872E+02  4.119E+02    1.21 um     1097 A      1100 A   
   1.40 MeV   7.109E+02  3.959E+02    1.30 um     1151 A      1165 A   
   1.50 MeV   7.327E+02  3.812E+02    1.39 um     1202 A      1228 A   
   1.60 MeV   7.531E+02  3.678E+02    1.48 um     1252 A      1290 A   
   1.70 MeV   7.723E+02  3.554E+02    1.57 um     1299 A      1350 A   
   1.80 MeV   7.907E+02  3.440E+02    1.65 um     1345 A      1409 A   
   2.00 MeV   8.258E+02  3.235E+02    1.83 um     1441 A      1522 A   
   2.25 MeV   8.677E+02  3.015E+02    2.04 um     1557 A      1657 A   
   2.50 MeV   9.088E+02  2.828E+02    2.25 um     1663 A      1784 A   
   2.75 MeV   9.497E+02  2.665E+02    2.45 um     1759 A      1905 A   
   3.00 MeV   9.909E+02  2.523E+02    2.65 um     1848 A      2018 A   
   3.25 MeV   1.033E+03  2.397E+02    2.85 um     1930 A      2126 A   
   3.50 MeV   1.075E+03  2.284E+02    3.04 um     2006 A      2228 A   
   3.75 MeV   1.118E+03  2.183E+02    3.23 um     2075 A      2325 A   
   4.00 MeV   1.162E+03  2.092E+02    3.41 um     2140 A      2416 A   
   4.50 MeV   1.253E+03  1.933E+02    3.77 um     2282 A      2585 A   
   5.00 MeV   1.346E+03  1.800E+02    4.10 um     2404 A      2736 A   
   5.50 MeV   1.442E+03  1.685E+02    4.42 um     2510 A      2872 A   
   6.00 MeV   1.539E+03  1.586E+02    4.72 um     2601 A      2994 A   
   6.50 MeV   1.638E+03  1.500E+02    5.00 um     2681 A      3105 A   
   7.00 MeV   1.738E+03  1.423E+02    5.27 um     2752 A      3206 A   
   8.00 MeV   1.939E+03  1.293E+02    5.78 um     2913 A      3380 A   
   9.00 MeV   2.139E+03  1.187E+02    6.24 um     3042 A      3527 A   
  10.00 MeV   2.336E+03  1.099E+02    6.66 um     3146 A      3651 A   
  11.00 MeV   2.528E+03  1.024E+02    7.05 um     3233 A      3757 A   
  12.00 MeV   2.715E+03  9.599E+01    7.42 um     3306 A      3850 A   
  13.00 MeV   2.894E+03  9.040E+01    7.76 um     3370 A      3931 A   
  14.00 MeV   3.066E+03  8.548E+01    8.09 um     3425 A      4003 A   
  15.00 MeV   3.230E+03  8.112E+01    8.40 um     3473 A      4067 A   
  16.00 MeV   3.386E+03  7.723E+01    8.69 um     3516 A      4125 A   
  17.00 MeV   3.534E+03  7.373E+01    8.97 um     3555 A      4177 A   
  18.00 MeV   3.674E+03  7.056E+01    9.25 um     3591 A      4225 A   
  20.00 MeV   3.933E+03  6.504E+01    9.76 um     3689 A      4310 A   
  22.50 MeV   4.221E+03  5.935E+01   10.36 um     3812 A      4400 A   
  25.00 MeV   4.474E+03  5.465E+01   10.93 um     3916 A      4476 A   
  27.50 MeV   4.698E+03  5.069E+01   11.47 um     4007 A      4542 A   
  30.00 MeV   4.899E+03  4.732E+01   11.98 um     4088 A      4600 A   
  32.50 MeV   5.080E+03  4.440E+01   12.48 um     4160 A      4652 A   
  35.00 MeV   5.244E+03  4.185E+01   12.96 um     4227 A      4699 A   
  37.50 MeV   5.395E+03  3.960E+01   13.43 um     4288 A      4741 A   
  40.00 MeV   5.533E+03  3.759E+01   13.88 um     4345 A      4781 A   
  45.00 MeV   5.779E+03  3.418E+01   14.76 um     4535 A      4850 A   
  50.00 MeV   5.988E+03  3.138E+01   15.60 um     4703 A      4912 A   
  55.00 MeV   6.169E+03  2.904E+01   16.42 um     4854 A      4966 A   
  60.00 MeV   6.324E+03  2.704E+01   17.22 um     4993 A      5015 A   
  65.00 MeV   6.457E+03  2.532E+01   17.99 um     5122 A      5060 A   
  70.00 MeV   6.571E+03  2.382E+01   18.76 um     5242 A      5101 A   
  80.00 MeV   6.752E+03  2.133E+01   20.25 um     5666 A      5176 A   
  90.00 MeV   6.883E+03  1.935E+01   21.72 um     6042 A      5242 A   
 100.00 MeV   6.975E+03  1.772E+01   23.15 um     6385 A      5302 A   
 110.00 MeV   7.036E+03  1.636E+01   24.58 um     6702 A      5357 A   
 120.00 MeV   7.074E+03  1.521E+01   25.99 um     7002 A      5409 A   
 130.00 MeV   7.093E+03  1.422E+01   27.40 um     7286 A      5457 A   
 140.00 MeV   7.098E+03  1.336E+01   28.81 um     7559 A      5504 A   
 150.00 MeV   7.090E+03  1.260E+01   30.21 um     7822 A      5548 A   
 160.00 MeV   7.074E+03  1.193E+01   31.62 um     8077 A      5591 A   
 170.00 MeV   7.050E+03  1.134E+01   33.04 um     8326 A      5633 A   
 180.00 MeV   7.020E+03  1.080E+01   34.46 um     8569 A      5674 A   
 200.00 MeV   7.014E+03  9.873E+00   37.30 um     9475 A      5752 A   
 225.00 MeV   7.034E+03  8.929E+00   40.86 um     1.07 um     5845 A   
 250.00 MeV   6.927E+03  8.159E+00   44.43 um     1.19 um     5934 A   
 275.00 MeV   6.807E+03  7.518E+00   48.07 um     1.29 um     6021 A   
 300.00 MeV   6.689E+03  6.976E+00   51.77 um     1.40 um     6107 A   
 325.00 MeV   6.575E+03  6.511E+00   55.54 um     1.50 um     6193 A   
 350.00 MeV   6.464E+03  6.108E+00   59.37 um     1.59 um     6278 A   
 375.00 MeV   6.356E+03  5.754E+00   63.27 um     1.68 um     6363 A   
 400.00 MeV   6.252E+03  5.442E+00   67.23 um     1.78 um     6449 A   
 450.00 MeV   6.052E+03  4.913E+00   75.35 um     2.12 um     6621 A   
 500.00 MeV   5.865E+03  4.483E+00   83.74 um     2.43 um     6796 A   
 550.00 MeV   5.688E+03  4.126E+00   92.39 um     2.72 um     6975 A   
 600.00 MeV   5.521E+03  3.824E+00  101.31 um     3.00 um     7159 A   
 650.00 MeV   5.363E+03  3.566E+00  110.49 um     3.27 um     7347 A   
 700.00 MeV   5.213E+03  3.342E+00  119.94 um     3.53 um     7541 A   
 800.00 MeV   4.934E+03  2.973E+00  139.66 um     4.50 um     7944 A   
 900.00 MeV   4.682E+03  2.680E+00  160.46 um     5.38 um     8371 A   
   1.00 GeV   4.452E+03  2.443E+00  182.36 um     6.21 um     8823 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  9.4077E-03                keV / (ug/cm2) 
  9.4077E-03                MeV / (mg/cm2) 
  9.4077E+00                keV / (mg/cm2) 
  8.3513E-02                 eV / (1E15 atoms/cm2)
  3.7398E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
