 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silicon.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   1.089E+03  1.602E+00    7.72 um     3170 A      3578 A   
   9.00 MeV   1.069E+03  1.450E+00    8.64 um     3468 A      3732 A   
  10.00 MeV   1.050E+03  1.326E+00    9.59 um     3752 A      3883 A   
  11.00 MeV   1.032E+03  1.223E+00   10.54 um     4024 A      4034 A   
  12.00 MeV   1.014E+03  1.135E+00   11.52 um     4289 A      4183 A   
  13.00 MeV   9.963E+02  1.060E+00   12.51 um     4546 A      4333 A   
  14.00 MeV   9.793E+02  9.948E-01   13.52 um     4798 A      4482 A   
  15.00 MeV   9.629E+02  9.376E-01   14.55 um     5045 A      4632 A   
  16.00 MeV   9.468E+02  8.870E-01   15.60 um     5289 A      4782 A   
  17.00 MeV   9.312E+02  8.419E-01   16.66 um     5530 A      4933 A   
  18.00 MeV   9.160E+02  8.014E-01   17.74 um     5768 A      5084 A   
  20.00 MeV   8.868E+02  7.317E-01   19.96 um     6621 A      5390 A   
  22.50 MeV   8.523E+02  6.608E-01   22.83 um     7831 A      5778 A   
  25.00 MeV   8.204E+02  6.030E-01   25.81 um     8958 A      6174 A   
  27.50 MeV   7.856E+02  5.551E-01   28.92 um     1.00 um     6579 A   
  30.00 MeV   7.505E+02  5.146E-01   32.18 um     1.11 um     6997 A   
  32.50 MeV   7.210E+02  4.798E-01   35.57 um     1.22 um     7428 A   
  35.00 MeV   6.935E+02  4.498E-01   39.10 um     1.32 um     7872 A   
  37.50 MeV   6.678E+02  4.234E-01   42.77 um     1.42 um     8330 A   
  40.00 MeV   6.437E+02  4.001E-01   46.58 um     1.53 um     8801 A   
  45.00 MeV   5.998E+02  3.608E-01   54.63 um     1.92 um     9788 A   
  50.00 MeV   5.611E+02  3.289E-01   63.24 um     2.28 um     1.08 um  
  55.00 MeV   5.268E+02  3.024E-01   72.43 um     2.64 um     1.19 um  
  60.00 MeV   4.962E+02  2.801E-01   82.20 um     2.99 um     1.31 um  
  65.00 MeV   4.688E+02  2.610E-01   92.56 um     3.34 um     1.44 um  
  70.00 MeV   4.442E+02  2.444E-01  103.51 um     3.70 um     1.57 um  
  80.00 MeV   4.019E+02  2.172E-01  127.17 um     5.01 um     1.84 um  
  90.00 MeV   3.669E+02  1.956E-01  153.20 um     6.24 um     2.15 um  
 100.00 MeV   3.377E+02  1.781E-01  181.60 um     7.45 um     2.48 um  
 110.00 MeV   3.129E+02  1.636E-01  212.35 um     8.65 um     2.84 um  
 120.00 MeV   2.918E+02  1.514E-01  245.43 um     9.86 um     3.23 um  
 130.00 MeV   2.735E+02  1.410E-01  280.82 um    11.09 um     3.64 um  
 140.00 MeV   2.576E+02  1.320E-01  318.48 um    12.34 um     4.07 um  
 150.00 MeV   2.436E+02  1.241E-01  358.38 um    13.60 um     4.54 um  
 160.00 MeV   2.312E+02  1.171E-01  400.50 um    14.89 um     5.02 um  
 170.00 MeV   2.202E+02  1.109E-01  444.80 um    16.19 um     5.53 um  
 180.00 MeV   2.103E+02  1.054E-01  491.25 um    17.52 um     6.07 um  
 200.00 MeV   1.933E+02  9.589E-02  590.41 um    22.52 um     7.20 um  
 225.00 MeV   1.760E+02  8.626E-02  725.90 um    29.67 um     8.76 um  
 250.00 MeV   1.620E+02  7.846E-02  873.90 um    36.42 um    10.44 um  
 275.00 MeV   1.503E+02  7.201E-02    1.03 mm    43.00 um    12.26 um  
 300.00 MeV   1.404E+02  6.658E-02    1.21 mm    49.53 um    14.21 um  
 325.00 MeV   1.318E+02  6.194E-02    1.39 mm    56.06 um    16.28 um  
 350.00 MeV   1.243E+02  5.793E-02    1.59 mm    62.63 um    18.48 um  
 375.00 MeV   1.177E+02  5.443E-02    1.79 mm    69.26 um    20.79 um  
 400.00 MeV   1.118E+02  5.135E-02    2.01 mm    75.96 um    23.22 um  
 450.00 MeV   1.018E+02  4.616E-02    2.48 mm   101.10 um    28.43 um  
 500.00 MeV   9.368E+01  4.196E-02    2.99 mm   124.66 um    34.09 um  
 550.00 MeV   8.690E+01  3.848E-02    3.54 mm   147.57 um    40.18 um  
 600.00 MeV   8.116E+01  3.556E-02    4.14 mm   170.26 um    46.70 um  
 650.00 MeV   7.623E+01  3.307E-02    4.77 mm   192.91 um    53.62 um  
 700.00 MeV   7.195E+01  3.091E-02    5.45 mm   215.65 um    60.95 um  
 800.00 MeV   6.489E+01  2.738E-02    6.91 mm   299.67 um    76.76 um  
 900.00 MeV   5.929E+01  2.459E-02    8.52 mm   377.35 um    94.04 um  
   1.00 GeV   5.474E+01  2.234E-02   10.28 mm   452.54 um   112.72 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.3083E-03                keV / (ug/cm2) 
  4.3083E-03                MeV / (mg/cm2) 
  4.3083E+00                keV / (mg/cm2) 
  2.0093E-01                 eV / (1E15 atoms/cm2)
  2.8503E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
