 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 21, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Polyethylene.txt

 Ion = Krypton [36] , Mass = 82.914 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  14.00 keV   1.056E+02  7.261E+02     244 A        46 A        37 A   
  15.00 keV   1.093E+02  7.360E+02     255 A        48 A        39 A   
  16.00 keV   1.129E+02  7.449E+02     266 A        49 A        40 A   
  17.00 keV   1.163E+02  7.531E+02     277 A        51 A        42 A   
  18.00 keV   1.197E+02  7.606E+02     288 A        53 A        43 A   
  20.00 keV   1.262E+02  7.738E+02     309 A        56 A        46 A   
  22.50 keV   1.338E+02  7.875E+02     334 A        60 A        49 A   
  25.00 keV   1.411E+02  7.989E+02     360 A        63 A        53 A   
  27.50 keV   1.480E+02  8.083E+02     384 A        67 A        56 A   
  30.00 keV   1.545E+02  8.161E+02     409 A        70 A        59 A   
  32.50 keV   1.608E+02  8.226E+02     433 A        74 A        62 A   
  35.00 keV   1.669E+02  8.280E+02     457 A        77 A        65 A   
  37.50 keV   1.728E+02  8.324E+02     480 A        81 A        68 A   
  40.00 keV   1.784E+02  8.361E+02     504 A        84 A        71 A   
  45.00 keV   1.893E+02  8.416E+02     550 A        90 A        77 A   
  50.00 keV   1.995E+02  8.449E+02     596 A        97 A        83 A   
  55.00 keV   2.092E+02  8.467E+02     641 A       103 A        88 A   
  60.00 keV   2.186E+02  8.472E+02     685 A       109 A        94 A   
  65.00 keV   2.275E+02  8.468E+02     730 A       114 A        99 A   
  70.00 keV   2.361E+02  8.456E+02     774 A       120 A       104 A   
  80.00 keV   2.524E+02  8.413E+02     861 A       132 A       114 A   
  90.00 keV   2.677E+02  8.354E+02     948 A       143 A       124 A   
 100.00 keV   2.821E+02  8.283E+02    1034 A       154 A       134 A   
 110.00 keV   2.959E+02  8.205E+02    1120 A       164 A       144 A   
 120.00 keV   3.091E+02  8.123E+02    1206 A       175 A       153 A   
 130.00 keV   3.217E+02  8.037E+02    1291 A       185 A       162 A   
 140.00 keV   3.338E+02  7.949E+02    1376 A       195 A       172 A   
 150.00 keV   3.456E+02  7.861E+02    1461 A       205 A       181 A   
 160.00 keV   3.569E+02  7.773E+02    1546 A       214 A       190 A   
 170.00 keV   3.458E+02  7.685E+02    1631 A       224 A       199 A   
 180.00 keV   3.129E+02  7.598E+02    1719 A       234 A       208 A   
 200.00 keV   2.746E+02  7.427E+02    1904 A       255 A       226 A   
 225.00 keV   2.578E+02  7.221E+02    2145 A       283 A       250 A   
 250.00 keV   2.591E+02  7.026E+02    2394 A       311 A       274 A   
 275.00 keV   2.696E+02  6.840E+02    2646 A       339 A       299 A   
 300.00 keV   2.844E+02  6.664E+02    2900 A       367 A       323 A   
 325.00 keV   3.009E+02  6.498E+02    3154 A       394 A       348 A   
 350.00 keV   3.178E+02  6.341E+02    3408 A       420 A       373 A   
 375.00 keV   3.343E+02  6.191E+02    3662 A       446 A       398 A   
 400.00 keV   3.500E+02  6.050E+02    3916 A       471 A       422 A   
 450.00 keV   3.786E+02  5.789E+02    4423 A       522 A       471 A   
 500.00 keV   4.035E+02  5.552E+02    4930 A       570 A       519 A   
 550.00 keV   4.251E+02  5.337E+02    5437 A       617 A       566 A   
 600.00 keV   4.440E+02  5.141E+02    5944 A       662 A       612 A   
 650.00 keV   4.610E+02  4.961E+02    6453 A       705 A       658 A   
 700.00 keV   4.764E+02  4.795E+02    6962 A       747 A       703 A   
 800.00 keV   5.039E+02  4.500E+02    7984 A       834 A       793 A   
 900.00 keV   5.288E+02  4.245E+02    9009 A       915 A       880 A   
   1.00 MeV   5.523E+02  4.022E+02    1.00 um      993 A       964 A   
   1.10 MeV   5.753E+02  3.824E+02    1.11 um     1066 A      1047 A   
   1.20 MeV   5.981E+02  3.648E+02    1.21 um     1135 A      1128 A   
   1.30 MeV   6.211E+02  3.490E+02    1.31 um     1201 A      1207 A   
   1.40 MeV   6.444E+02  3.348E+02    1.41 um     1264 A      1283 A   
   1.50 MeV   6.680E+02  3.218E+02    1.51 um     1324 A      1357 A   
   1.60 MeV   6.917E+02  3.099E+02    1.61 um     1380 A      1430 A   
   1.70 MeV   7.157E+02  2.991E+02    1.71 um     1434 A      1500 A   
   1.80 MeV   7.397E+02  2.890E+02    1.80 um     1486 A      1567 A   
   2.00 MeV   7.878E+02  2.711E+02    1.99 um     1592 A      1697 A   
   2.25 MeV   8.470E+02  2.521E+02    2.22 um     1716 A      1847 A   
   2.50 MeV   9.049E+02  2.358E+02    2.44 um     1826 A      1986 A   
   2.75 MeV   9.609E+02  2.218E+02    2.65 um     1924 A      2115 A   
   3.00 MeV   1.015E+03  2.096E+02    2.86 um     2012 A      2234 A   
   3.25 MeV   1.068E+03  1.988E+02    3.06 um     2091 A      2345 A   
   3.50 MeV   1.119E+03  1.893E+02    3.25 um     2163 A      2448 A   
   3.75 MeV   1.168E+03  1.807E+02    3.43 um     2229 A      2544 A   
   4.00 MeV   1.217E+03  1.729E+02    3.62 um     2290 A      2635 A   
   4.50 MeV   1.312E+03  1.595E+02    3.96 um     2421 A      2800 A   
   5.00 MeV   1.404E+03  1.482E+02    4.29 um     2534 A      2946 A   
   5.50 MeV   1.495E+03  1.386E+02    4.60 um     2631 A      3077 A   
   6.00 MeV   1.585E+03  1.303E+02    4.90 um     2716 A      3195 A   
   6.50 MeV   1.676E+03  1.230E+02    5.18 um     2791 A      3301 A   
   7.00 MeV   1.766E+03  1.166E+02    5.45 um     2857 A      3398 A   
   8.00 MeV   1.950E+03  1.057E+02    5.96 um     3012 A      3566 A   
   9.00 MeV   2.137E+03  9.694E+01    6.42 um     3136 A      3708 A   
  10.00 MeV   2.325E+03  8.962E+01    6.85 um     3237 A      3828 A   
  11.00 MeV   2.513E+03  8.343E+01    7.25 um     3322 A      3931 A   
  12.00 MeV   2.701E+03  7.812E+01    7.62 um     3393 A      4021 A   
  13.00 MeV   2.886E+03  7.350E+01    7.97 um     3454 A      4099 A   
  14.00 MeV   3.068E+03  6.945E+01    8.29 um     3507 A      4168 A   
  15.00 MeV   3.245E+03  6.586E+01    8.60 um     3554 A      4230 A   
  16.00 MeV   3.417E+03  6.266E+01    8.90 um     3595 A      4285 A   
  17.00 MeV   3.583E+03  5.978E+01    9.18 um     3632 A      4334 A   
  18.00 MeV   3.743E+03  5.718E+01    9.44 um     3665 A      4379 A   
  20.00 MeV   4.045E+03  5.266E+01    9.95 um     3756 A      4458 A   
  22.50 MeV   4.387E+03  4.800E+01   10.54 um     3869 A      4540 A   
  25.00 MeV   4.693E+03  4.415E+01   11.08 um     3963 A      4609 A   
  27.50 MeV   4.965E+03  4.093E+01   11.59 um     4044 A      4668 A   
  30.00 MeV   5.206E+03  3.818E+01   12.08 um     4115 A      4719 A   
  32.50 MeV   5.419E+03  3.580E+01   12.55 um     4178 A      4765 A   
  35.00 MeV   5.608E+03  3.372E+01   13.00 um     4236 A      4805 A   
  37.50 MeV   5.774E+03  3.189E+01   13.43 um     4290 A      4842 A   
  40.00 MeV   5.920E+03  3.027E+01   13.86 um     4339 A      4876 A   
  45.00 MeV   6.160E+03  2.750E+01   14.68 um     4506 A      4936 A   
  50.00 MeV   6.342E+03  2.523E+01   15.48 um     4655 A      4988 A   
  55.00 MeV   6.479E+03  2.333E+01   16.25 um     4792 A      5035 A   
  60.00 MeV   6.578E+03  2.171E+01   17.02 um     4921 A      5077 A   
  65.00 MeV   6.648E+03  2.032E+01   17.77 um     5042 A      5116 A   
  70.00 MeV   6.695E+03  1.911E+01   18.52 um     5159 A      5152 A   
  80.00 MeV   6.737E+03  1.710E+01   20.00 um     5581 A      5218 A   
  90.00 MeV   6.733E+03  1.550E+01   21.48 um     5971 A      5279 A   
 100.00 MeV   6.700E+03  1.419E+01   22.97 um     6338 A      5335 A   
 110.00 MeV   6.649E+03  1.309E+01   24.46 um     6689 A      5387 A   
 120.00 MeV   6.588E+03  1.217E+01   25.97 um     7028 A      5438 A   
 130.00 MeV   6.521E+03  1.137E+01   27.49 um     7357 A      5486 A   
 140.00 MeV   6.450E+03  1.068E+01   29.03 um     7678 A      5533 A   
 150.00 MeV   6.379E+03  1.007E+01   30.59 um     7993 A      5579 A   
 160.00 MeV   6.308E+03  9.533E+00   32.16 um     8303 A      5625 A   
 170.00 MeV   6.275E+03  9.053E+00   33.75 um     8606 A      5669 A   
 180.00 MeV   6.279E+03  8.622E+00   35.34 um     8900 A      5713 A   
 200.00 MeV   6.223E+03  7.879E+00   38.53 um     9990 A      5798 A   
 225.00 MeV   6.068E+03  7.122E+00   42.60 um     1.15 um     5902 A   
 250.00 MeV   5.931E+03  6.505E+00   46.76 um     1.30 um     6005 A   
 275.00 MeV   5.809E+03  5.992E+00   51.02 um     1.43 um     6109 A   
 300.00 MeV   5.698E+03  5.558E+00   55.36 um     1.56 um     6212 A   
 325.00 MeV   5.597E+03  5.186E+00   59.78 um     1.68 um     6316 A   
 350.00 MeV   5.502E+03  4.863E+00   64.28 um     1.80 um     6421 A   
 375.00 MeV   5.414E+03  4.581E+00   68.86 um     1.91 um     6526 A   
 400.00 MeV   5.330E+03  4.331E+00   73.51 um     2.02 um     6633 A   
 450.00 MeV   5.172E+03  3.909E+00   83.03 um     2.43 um     6849 A   
 500.00 MeV   5.025E+03  3.565E+00   92.83 um     2.80 um     7070 A   
 550.00 MeV   4.886E+03  3.280E+00  102.91 um     3.14 um     7297 A   
 600.00 MeV   4.752E+03  3.040E+00  113.29 um     3.47 um     7529 A   
 650.00 MeV   4.624E+03  2.834E+00  123.95 um     3.78 um     7767 A   
 700.00 MeV   4.499E+03  2.655E+00  134.91 um     4.09 um     8012 A   
 800.00 MeV   4.261E+03  2.361E+00  157.74 um     5.21 um     8521 A   
 900.00 MeV   4.038E+03  2.128E+00  181.84 um     6.23 um     9059 A   
