 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 94.929 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 MeV   6.528E+02  4.109E+02    1.15 um     1064 A      1059 A   
   1.30 MeV   6.791E+02  3.938E+02    1.25 um     1121 A      1128 A   
   1.40 MeV   7.029E+02  3.782E+02    1.34 um     1176 A      1194 A   
   1.50 MeV   7.247E+02  3.641E+02    1.43 um     1228 A      1259 A   
   1.60 MeV   7.449E+02  3.512E+02    1.52 um     1278 A      1322 A   
   1.70 MeV   7.639E+02  3.392E+02    1.61 um     1326 A      1383 A   
   1.80 MeV   7.819E+02  3.282E+02    1.70 um     1372 A      1443 A   
   2.00 MeV   8.157E+02  3.085E+02    1.87 um     1469 A      1558 A   
   2.25 MeV   8.554E+02  2.874E+02    2.09 um     1587 A      1695 A   
   2.50 MeV   8.935E+02  2.694E+02    2.30 um     1694 A      1824 A   
   2.75 MeV   9.311E+02  2.538E+02    2.52 um     1792 A      1946 A   
   3.00 MeV   9.685E+02  2.401E+02    2.72 um     1882 A      2062 A   
   3.25 MeV   1.006E+03  2.281E+02    2.92 um     1966 A      2173 A   
   3.50 MeV   1.045E+03  2.173E+02    3.12 um     2043 A      2277 A   
   3.75 MeV   1.084E+03  2.077E+02    3.32 um     2115 A      2376 A   
   4.00 MeV   1.123E+03  1.989E+02    3.51 um     2182 A      2470 A   
   4.50 MeV   1.205E+03  1.838E+02    3.87 um     2330 A      2644 A   
   5.00 MeV   1.289E+03  1.710E+02    4.22 um     2457 A      2801 A   
   5.50 MeV   1.376E+03  1.601E+02    4.55 um     2568 A      2942 A   
   6.00 MeV   1.465E+03  1.506E+02    4.87 um     2664 A      3070 A   
   6.50 MeV   1.556E+03  1.424E+02    5.17 um     2749 A      3187 A   
   7.00 MeV   1.647E+03  1.350E+02    5.45 um     2824 A      3292 A   
   8.00 MeV   1.833E+03  1.227E+02    5.99 um     2997 A      3477 A   
   9.00 MeV   2.018E+03  1.126E+02    6.47 um     3135 A      3632 A   
  10.00 MeV   2.202E+03  1.042E+02    6.92 um     3247 A      3764 A   
  11.00 MeV   2.381E+03  9.708E+01    7.34 um     3341 A      3877 A   
  12.00 MeV   2.555E+03  9.097E+01    7.73 um     3420 A      3976 A   
