 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Aluminum.txt

 Ion = Molybdenum [42] , Mass = 94.906 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  45.00 keV   1.604E+02  1.741E+03     277 A        81 A        64 A   
  50.00 keV   1.691E+02  1.763E+03     299 A        87 A        69 A   
  55.00 keV   1.773E+02  1.780E+03     321 A        92 A        73 A   
  60.00 keV   1.852E+02  1.794E+03     343 A        98 A        78 A   
  65.00 keV   1.928E+02  1.805E+03     365 A       103 A        82 A   
  70.00 keV   2.001E+02  1.814E+03     387 A       108 A        86 A   
  80.00 keV   2.139E+02  1.827E+03     429 A       118 A        94 A   
  90.00 keV   2.268E+02  1.834E+03     472 A       129 A       103 A   
 100.00 keV   2.391E+02  1.836E+03     514 A       138 A       111 A   
 110.00 keV   2.508E+02  1.836E+03     556 A       148 A       118 A   
 120.00 keV   2.619E+02  1.833E+03     598 A       158 A       126 A   
 130.00 keV   2.726E+02  1.828E+03     640 A       167 A       134 A   
 140.00 keV   2.829E+02  1.822E+03     682 A       177 A       141 A   
 150.00 keV   2.929E+02  1.815E+03     724 A       186 A       149 A   
 160.00 keV   3.025E+02  1.807E+03     766 A       196 A       156 A   
 170.00 keV   3.118E+02  1.798E+03     808 A       205 A       163 A   
 180.00 keV   3.208E+02  1.788E+03     851 A       214 A       171 A   
 200.00 keV   3.698E+02  1.768E+03     935 A       232 A       185 A   
 225.00 keV   4.418E+02  1.741E+03    1038 A       254 A       203 A   
 250.00 keV   4.879E+02  1.713E+03    1140 A       275 A       220 A   
 275.00 keV   5.186E+02  1.685E+03    1242 A       295 A       238 A   
 300.00 keV   5.405E+02  1.657E+03    1345 A       316 A       254 A   
 325.00 keV   5.577E+02  1.630E+03    1448 A       336 A       271 A   
 350.00 keV   5.726E+02  1.603E+03    1552 A       355 A       288 A   
 375.00 keV   5.865E+02  1.577E+03    1657 A       375 A       304 A   
 400.00 keV   6.004E+02  1.552E+03    1762 A       395 A       321 A   
 450.00 keV   6.288E+02  1.503E+03    1976 A       434 A       353 A   
 500.00 keV   6.590E+02  1.458E+03    2191 A       472 A       386 A   
 550.00 keV   6.905E+02  1.415E+03    2409 A       510 A       418 A   
 600.00 keV   7.227E+02  1.375E+03    2628 A       547 A       450 A   
 650.00 keV   7.550E+02  1.337E+03    2849 A       584 A       482 A   
 700.00 keV   7.870E+02  1.302E+03    3070 A       620 A       514 A   
 800.00 keV   8.489E+02  1.237E+03    3515 A       690 A       578 A   
 900.00 keV   9.071E+02  1.180E+03    3962 A       757 A       640 A   
   1.00 MeV   9.612E+02  1.128E+03    4409 A       822 A       702 A   
   1.10 MeV   1.012E+03  1.081E+03    4857 A       884 A       763 A   
   1.20 MeV   1.059E+03  1.039E+03    5305 A       944 A       823 A   
   1.30 MeV   1.103E+03  1.001E+03    5753 A      1001 A       882 A   
   1.40 MeV   1.145E+03  9.652E+02    6201 A      1057 A       940 A   
   1.50 MeV   1.185E+03  9.327E+02    6648 A      1111 A       997 A   
   1.60 MeV   1.224E+03  9.027E+02    7094 A      1163 A      1054 A   
   1.70 MeV   1.261E+03  8.749E+02    7539 A      1213 A      1109 A   
   1.80 MeV   1.298E+03  8.490E+02    7983 A      1262 A      1163 A   
   2.00 MeV   1.368E+03  8.023E+02    8865 A      1357 A      1270 A   
   2.25 MeV   1.454E+03  7.517E+02    9955 A      1470 A      1398 A   
   2.50 MeV   1.539E+03  7.081E+02    1.10 um     1574 A      1520 A   
   2.75 MeV   1.623E+03  6.699E+02    1.21 um     1670 A      1637 A   
   3.00 MeV   1.708E+03  6.363E+02    1.31 um     1759 A      1749 A   
   3.25 MeV   1.793E+03  6.063E+02    1.41 um     1841 A      1855 A   
   3.50 MeV   1.878E+03  5.794E+02    1.51 um     1918 A      1957 A   
   3.75 MeV   1.965E+03  5.552E+02    1.61 um     1989 A      2054 A   
   4.00 MeV   2.051E+03  5.332E+02    1.71 um     2055 A      2146 A   
   4.50 MeV   2.226E+03  4.946E+02    1.89 um     2181 A      2317 A   
   5.00 MeV   2.400E+03  4.620E+02    2.06 um     2291 A      2473 A   
   5.50 MeV   2.574E+03  4.339E+02    2.23 um     2387 A      2614 A   
   6.00 MeV   2.746E+03  4.094E+02    2.39 um     2471 A      2743 A   
   6.50 MeV   2.914E+03  3.879E+02    2.54 um     2546 A      2861 A   
   7.00 MeV   3.079E+03  3.688E+02    2.68 um     2613 A      2969 A   
   8.00 MeV   3.396E+03  3.363E+02    2.96 um     2741 A      3161 A   
   9.00 MeV   3.693E+03  3.097E+02    3.21 um     2846 A      3326 A   
  10.00 MeV   3.969E+03  2.874E+02    3.45 um     2934 A      3469 A   
  11.00 MeV   4.226E+03  2.684E+02    3.68 um     3011 A      3596 A   
  12.00 MeV   4.464E+03  2.520E+02    3.89 um     3077 A      3710 A   
  13.00 MeV   4.685E+03  2.377E+02    4.09 um     3135 A      3812 A   
  14.00 MeV   4.889E+03  2.252E+02    4.29 um     3188 A      3904 A   
  15.00 MeV   5.080E+03  2.140E+02    4.48 um     3235 A      3989 A   
  16.00 MeV   5.257E+03  2.040E+02    4.67 um     3278 A      4067 A   
  17.00 MeV   5.424E+03  1.949E+02    4.85 um     3318 A      4140 A   
  18.00 MeV   5.580E+03  1.867E+02    5.02 um     3355 A      4207 A   
  20.00 MeV   5.865E+03  1.725E+02    5.36 um     3436 A      4330 A   
  22.50 MeV   6.182E+03  1.577E+02    5.76 um     3534 A      4464 A   
  25.00 MeV   6.466E+03  1.454E+02    6.14 um     3620 A      4582 A   
  27.50 MeV   6.723E+03  1.351E+02    6.51 um     3695 A      4688 A   
  30.00 MeV   6.961E+03  1.263E+02    6.87 um     3763 A      4783 A   
  32.50 MeV   7.182E+03  1.186E+02    7.21 um     3825 A      4869 A   
  35.00 MeV   7.392E+03  1.119E+02    7.55 um     3882 A      4949 A   
  37.50 MeV   7.591E+03  1.060E+02    7.88 um     3934 A      5022 A   
  40.00 MeV   7.782E+03  1.008E+02    8.20 um     3983 A      5090 A   
  45.00 MeV   8.143E+03  9.176E+01    8.82 um     4117 A      5213 A   
  50.00 MeV   8.481E+03  8.435E+01    9.41 um     4235 A      5322 A   
  55.00 MeV   8.801E+03  7.814E+01    9.98 um     4341 A      5419 A   
  60.00 MeV   9.105E+03  7.285E+01   10.53 um     4436 A      5508 A   
  65.00 MeV   9.394E+03  6.828E+01   11.07 um     4523 A      5588 A   
  70.00 MeV   9.670E+03  6.429E+01   11.59 um     4603 A      5662 A   
  80.00 MeV   1.018E+04  5.765E+01   12.59 um     4850 A      5793 A   
  90.00 MeV   1.065E+04  5.235E+01   13.54 um     5062 A      5908 A   
 100.00 MeV   1.107E+04  4.800E+01   14.46 um     5249 A      6009 A   
 110.00 MeV   1.146E+04  4.436E+01   15.34 um     5417 A      6100 A   
 120.00 MeV   1.180E+04  4.127E+01   16.20 um     5569 A      6183 A   
 130.00 MeV   1.211E+04  3.861E+01   17.03 um     5709 A      6258 A   
 140.00 MeV   1.239E+04  3.630E+01   17.84 um     5838 A      6328 A   
 150.00 MeV   1.264E+04  3.427E+01   18.64 um     5959 A      6393 A   
 160.00 MeV   1.286E+04  3.246E+01   19.42 um     6073 A      6454 A   
 170.00 MeV   1.306E+04  3.085E+01   20.19 um     6182 A      6512 A   
 180.00 MeV   1.324E+04  2.940E+01   20.95 um     6285 A      6566 A   
 200.00 MeV   1.354E+04  2.690E+01   22.44 um     6647 A      6667 A   
 225.00 MeV   1.368E+04  2.435E+01   24.27 um     7155 A      6782 A   
 250.00 MeV   1.378E+04  2.227E+01   26.09 um     7620 A      6889 A   
 275.00 MeV   1.384E+04  2.054E+01   27.89 um     8052 A      6988 A   
 300.00 MeV   1.385E+04  1.907E+01   29.70 um     8461 A      7082 A   
 325.00 MeV   1.382E+04  1.781E+01   31.50 um     8850 A      7172 A   
 350.00 MeV   1.376E+04  1.671E+01   33.31 um     9225 A      7258 A   
 375.00 MeV   1.368E+04  1.575E+01   35.13 um     9589 A      7342 A   
 400.00 MeV   1.358E+04  1.490E+01   36.96 um     9944 A      7424 A   
 450.00 MeV   1.333E+04  1.346E+01   40.67 um     1.13 um     7583 A   
 500.00 MeV   1.306E+04  1.229E+01   44.46 um     1.25 um     7738 A   
 550.00 MeV   1.276E+04  1.132E+01   48.33 um     1.37 um     7891 A   
 600.00 MeV   1.247E+04  1.050E+01   52.29 um     1.48 um     8043 A   
 650.00 MeV   1.217E+04  9.794E+00   56.35 um     1.59 um     8195 A   
 700.00 MeV   1.187E+04  9.182E+00   60.50 um     1.69 um     8349 A   
 800.00 MeV   1.131E+04  8.174E+00   69.13 um     2.09 um     8660 A   
 900.00 MeV   1.079E+04  7.375E+00   78.18 um     2.45 um     8982 A   
   1.00 GeV   1.031E+04  6.725E+00   87.65 um     2.80 um     9315 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  1.9345E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
