 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Polyethylene.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 2.51%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.50 MeV   2.006E+02  1.645E-01    7.02 um     2400 A      2364 A   
   1.60 MeV   1.943E+02  1.556E-01    7.53 um     2516 A      2421 A   
   1.70 MeV   1.883E+02  1.476E-01    8.05 um     2635 A      2481 A   
   1.80 MeV   1.827E+02  1.405E-01    8.59 um     2756 A      2542 A   
   2.00 MeV   1.724E+02  1.282E-01    9.71 um     3207 A      2669 A   
   2.25 MeV   1.610E+02  1.157E-01   11.21 um     3872 A      2838 A   
   2.50 MeV   1.511E+02  1.056E-01   12.81 um     4513 A      3020 A   
   2.75 MeV   1.424E+02  9.714E-02   14.51 um     5143 A      3214 A   
   3.00 MeV   1.347E+02  9.002E-02   16.32 um     5770 A      3421 A   
   3.25 MeV   1.278E+02  8.392E-02   18.22 um     6397 A      3642 A   
   3.50 MeV   1.216E+02  7.864E-02   20.23 um     7027 A      3875 A   
   3.75 MeV   1.160E+02  7.401E-02   22.33 um     7662 A      4122 A   
   4.00 MeV   1.109E+02  6.993E-02   24.53 um     8303 A      4381 A   
   4.50 MeV   1.020E+02  6.304E-02   29.23 um     1.07 um     4939 A   
   5.00 MeV   9.455E+01  5.744E-02   34.32 um     1.29 um     5547 A   
   5.50 MeV   8.814E+01  5.280E-02   39.79 um     1.51 um     6204 A   
   6.00 MeV   8.258E+01  4.888E-02   45.65 um     1.73 um     6910 A   
   6.50 MeV   7.772E+01  4.554E-02   51.89 um     1.95 um     7663 A   
   7.00 MeV   7.342E+01  4.264E-02   58.50 um     2.17 um     8462 A   
   8.00 MeV   6.618E+01  3.787E-02   72.84 um     2.98 um     1.02 um  
   9.00 MeV   6.160E+01  3.410E-02   88.49 um     3.73 um     1.21 um  
  10.00 MeV   5.697E+01  3.104E-02  105.37 um     4.44 um     1.41 um  
  11.00 MeV   5.279E+01  2.851E-02  123.59 um     5.15 um     1.63 um  
  12.00 MeV   4.924E+01  2.638E-02  143.20 um     5.87 um     1.87 um  
  13.00 MeV   4.618E+01  2.455E-02  164.16 um     6.59 um     2.12 um  
  14.00 MeV   4.351E+01  2.298E-02  186.46 um     7.32 um     2.38 um  
  15.00 MeV   4.117E+01  2.160E-02  210.07 um     8.07 um     2.66 um  
  16.00 MeV   3.908E+01  2.038E-02  234.99 um     8.83 um     2.95 um  
  17.00 MeV   3.722E+01  1.930E-02  261.19 um     9.60 um     3.26 um  
  18.00 MeV   3.554E+01  1.834E-02  288.67 um    10.38 um     3.58 um  
  20.00 MeV   3.264E+01  1.668E-02  347.37 um    13.34 um     4.27 um  
  22.50 MeV   2.967E+01  1.500E-02  427.68 um    17.58 um     5.21 um  
  25.00 MeV   2.724E+01  1.364E-02  515.59 um    21.59 um     6.23 um  
  27.50 MeV   2.520E+01  1.252E-02  610.98 um    25.52 um     7.33 um  
  30.00 MeV   2.347E+01  1.157E-02  713.73 um    29.44 um     8.52 um  
  32.50 MeV   2.199E+01  1.076E-02  823.73 um    33.37 um     9.78 um  
  35.00 MeV   2.069E+01  1.007E-02  940.89 um    37.34 um    11.13 um  
  37.50 MeV   1.956E+01  9.456E-03    1.07 mm    41.36 um    12.54 um  
  40.00 MeV   1.855E+01  8.918E-03    1.20 mm    45.42 um    14.04 um  
  45.00 MeV   1.683E+01  8.015E-03    1.48 mm    60.71 um    17.26 um  
  50.00 MeV   1.544E+01  7.284E-03    1.79 mm    75.08 um    20.77 um  
  55.00 MeV   1.427E+01  6.679E-03    2.13 mm    89.12 um    24.56 um  
  60.00 MeV   1.328E+01  6.171E-03    2.49 mm   103.07 um    28.64 um  
  65.00 MeV   1.243E+01  5.737E-03    2.88 mm   117.06 um    33.00 um  
  70.00 MeV   1.170E+01  5.363E-03    3.29 mm   131.17 um    37.63 um  
  80.00 MeV   1.048E+01  4.748E-03    4.20 mm   183.57 um    47.68 um  
  90.00 MeV   9.508E+00  4.264E-03    5.20 mm   232.39 um    58.78 um  
 100.00 MeV   8.718E+00  3.873E-03    6.30 mm   280.06 um    70.89 um  
 110.00 MeV   8.062E+00  3.550E-03    7.49 mm   327.53 um    83.99 um  
 120.00 MeV   7.506E+00  3.278E-03    8.77 mm   375.23 um    98.06 um  
 130.00 MeV   7.031E+00  3.046E-03   10.15 mm   423.41 um   113.06 um  
 140.00 MeV   6.618E+00  2.846E-03   11.61 mm   472.20 um   128.99 um  
 150.00 MeV   6.256E+00  2.672E-03   13.17 mm   521.65 um   145.83 um  
 160.00 MeV   5.937E+00  2.518E-03   14.81 mm   571.80 um   163.55 um  
 170.00 MeV   5.652E+00  2.382E-03   16.53 mm   622.66 um   182.14 um  
 180.00 MeV   5.397E+00  2.260E-03   18.34 mm   674.24 um   201.59 um  
 200.00 MeV   4.958E+00  2.052E-03   22.21 mm   869.99 um   243.02 um  
 225.00 MeV   4.513E+00  1.841E-03   27.49 mm     1.15 mm   299.35 um  
 250.00 MeV   4.152E+00  1.671E-03   33.27 mm     1.41 mm   360.56 um  
 275.00 MeV   3.852E+00  1.531E-03   39.52 mm     1.67 mm   426.46 um  
 300.00 MeV   3.599E+00  1.413E-03   46.23 mm     1.92 mm   496.86 um  
 325.00 MeV   3.383E+00  1.312E-03   53.39 mm     2.18 mm   571.60 um  
 350.00 MeV   3.196E+00  1.226E-03   61.00 mm     2.43 mm   650.54 um  
 375.00 MeV   3.033E+00  1.150E-03   69.02 mm     2.69 mm   733.52 um  
 400.00 MeV   2.889E+00  1.084E-03   77.46 mm     2.94 mm   820.41 um  
 450.00 MeV   2.647E+00  9.720E-04   95.54 mm     3.91 mm     1.01 mm  
 500.00 MeV   2.451E+00  8.818E-04  115.17 mm     4.80 mm     1.20 mm  
 550.00 MeV   2.289E+00  8.074E-04  136.27 mm     5.66 mm     1.42 mm  
 600.00 MeV   2.153E+00  7.449E-04  158.79 mm     6.50 mm     1.64 mm  
 650.00 MeV   2.037E+00  6.917E-04  182.66 mm     7.34 mm     1.88 mm  
 700.00 MeV   1.937E+00  6.458E-04  207.83 mm     8.16 mm     2.13 mm  
 800.00 MeV   1.773E+00  5.707E-04  261.78 mm    11.19 mm     2.65 mm  
 900.00 MeV   1.645E+00  5.116E-04  320.33 mm    13.94 mm     3.21 mm  
   1.00 GeV   1.542E+00  4.640E-04  383.13 mm    16.55 mm     3.81 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  9.4077E-03                keV / (ug/cm2) 
  9.4077E-03                MeV / (mg/cm2) 
  9.4077E+00                keV / (mg/cm2) 
  8.3513E-02                 eV / (1E15 atoms/cm2)
  8.0978E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
