 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  H- C.txt

 Ion = Molybdenum [42] , Mass = 94.906 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  16.00 keV   6.989E+01  8.099E+02     269 A        49 A        40 A   
  17.00 keV   7.204E+01  8.205E+02     279 A        51 A        41 A   
  18.00 keV   7.412E+01  8.303E+02     290 A        52 A        42 A   
  20.00 keV   7.813E+01  8.478E+02     310 A        55 A        45 A   
  22.50 keV   8.287E+01  8.666E+02     335 A        59 A        48 A   
  25.00 keV   8.736E+01  8.825E+02     360 A        63 A        52 A   
  27.50 keV   9.162E+01  8.961E+02     384 A        66 A        55 A   
  30.00 keV   9.569E+01  9.078E+02     407 A        69 A        58 A   
  32.50 keV   9.960E+01  9.180E+02     431 A        73 A        61 A   
  35.00 keV   1.034E+02  9.268E+02     454 A        76 A        64 A   
  37.50 keV   1.070E+02  9.345E+02     477 A        79 A        67 A   
  40.00 keV   1.105E+02  9.412E+02     499 A        82 A        69 A   
  45.00 keV   1.172E+02  9.522E+02     544 A        88 A        75 A   
  50.00 keV   1.235E+02  9.605E+02     588 A        94 A        80 A   
  55.00 keV   1.296E+02  9.667E+02     631 A       100 A        86 A   
  60.00 keV   1.353E+02  9.713E+02     674 A       106 A        91 A   
  65.00 keV   1.409E+02  9.746E+02     717 A       112 A        96 A   
  70.00 keV   1.462E+02  9.768E+02     760 A       117 A       101 A   
  80.00 keV   1.563E+02  9.785E+02     844 A       128 A       111 A   
  90.00 keV   1.657E+02  9.776E+02     928 A       139 A       121 A   
 100.00 keV   1.747E+02  9.749E+02    1011 A       150 A       130 A   
 110.00 keV   1.832E+02  9.708E+02    1094 A       160 A       140 A   
 120.00 keV   1.914E+02  9.657E+02    1177 A       170 A       149 A   
 130.00 keV   1.992E+02  9.598E+02    1259 A       180 A       158 A   
 140.00 keV   2.067E+02  9.534E+02    1342 A       190 A       167 A   
 150.00 keV   2.140E+02  9.466E+02    1424 A       200 A       176 A   
 160.00 keV   2.210E+02  9.396E+02    1507 A       210 A       185 A   
 170.00 keV   2.278E+02  9.323E+02    1590 A       220 A       194 A   
 180.00 keV   2.344E+02  9.249E+02    1672 A       229 A       203 A   
 200.00 keV   2.607E+02  9.098E+02    1837 A       248 A       220 A   
 225.00 keV   2.920E+02  8.909E+02    2042 A       272 A       242 A   
 250.00 keV   3.090E+02  8.723E+02    2246 A       294 A       263 A   
 275.00 keV   3.194E+02  8.542E+02    2450 A       317 A       283 A   
 300.00 keV   3.269E+02  8.366E+02    2657 A       339 A       304 A   
 325.00 keV   3.335E+02  8.197E+02    2866 A       360 A       324 A   
 350.00 keV   3.402E+02  8.034E+02    3076 A       382 A       345 A   
 375.00 keV   3.474E+02  7.877E+02    3289 A       403 A       365 A   
 400.00 keV   3.553E+02  7.726E+02    3503 A       424 A       386 A   
 450.00 keV   3.733E+02  7.443E+02    3935 A       468 A       426 A   
 500.00 keV   3.939E+02  7.182E+02    4370 A       510 A       467 A   
 550.00 keV   4.161E+02  6.941E+02    4807 A       551 A       507 A   
 600.00 keV   4.392E+02  6.717E+02    5245 A       590 A       546 A   
 650.00 keV   4.627E+02  6.510E+02    5683 A       628 A       585 A   
 700.00 keV   4.861E+02  6.317E+02    6119 A       666 A       624 A   
 800.00 keV   5.310E+02  5.970E+02    6988 A       741 A       699 A   
 900.00 keV   5.725E+02  5.664E+02    7849 A       811 A       772 A   
   1.00 MeV   6.099E+02  5.393E+02    8704 A       877 A       843 A   
   1.10 MeV   6.433E+02  5.151E+02    9552 A       938 A       912 A   
   1.20 MeV   6.731E+02  4.933E+02    1.04 um      997 A       979 A   
   1.30 MeV   6.999E+02  4.736E+02    1.12 um     1053 A      1044 A   
   1.40 MeV   7.242E+02  4.557E+02    1.21 um     1106 A      1107 A   
   1.50 MeV   7.466E+02  4.392E+02    1.29 um     1157 A      1169 A   
   1.60 MeV   7.675E+02  4.242E+02    1.37 um     1207 A      1229 A   
   1.70 MeV   7.872E+02  4.103E+02    1.45 um     1254 A      1288 A   
   1.80 MeV   8.060E+02  3.974E+02    1.54 um     1300 A      1345 A   
   2.00 MeV   8.418E+02  3.742E+02    1.70 um     1396 A      1457 A   
   2.25 MeV   8.845E+02  3.494E+02    1.90 um     1511 A      1590 A   
   2.50 MeV   9.262E+02  3.281E+02    2.10 um     1617 A      1716 A   
   2.75 MeV   9.677E+02  3.096E+02    2.29 um     1714 A      1837 A   
   3.00 MeV   1.009E+03  2.933E+02    2.49 um     1804 A      1951 A   
   3.25 MeV   1.052E+03  2.789E+02    2.67 um     1887 A      2059 A   
   3.50 MeV   1.095E+03  2.661E+02    2.86 um     1964 A      2162 A   
   3.75 MeV   1.139E+03  2.545E+02    3.04 um     2035 A      2260 A   
   4.00 MeV   1.184E+03  2.440E+02    3.21 um     2102 A      2353 A   
   4.50 MeV   1.276E+03  2.257E+02    3.55 um     2246 A      2525 A   
   5.00 MeV   1.372E+03  2.103E+02    3.87 um     2370 A      2680 A   
   5.50 MeV   1.470E+03  1.972E+02    4.18 um     2477 A      2820 A   
   6.00 MeV   1.571E+03  1.857E+02    4.47 um     2570 A      2947 A   
   6.50 MeV   1.673E+03  1.757E+02    4.74 um     2652 A      3061 A   
   7.00 MeV   1.777E+03  1.668E+02    5.00 um     2725 A      3165 A   
   8.00 MeV   1.985E+03  1.517E+02    5.49 um     2887 A      3347 A   
   9.00 MeV   2.194E+03  1.394E+02    5.94 um     3016 A      3499 A   
  10.00 MeV   2.401E+03  1.292E+02    6.35 um     3121 A      3628 A   
  11.00 MeV   2.603E+03  1.204E+02    6.73 um     3208 A      3739 A   
  12.00 MeV   2.799E+03  1.129E+02    7.08 um     3281 A      3836 A   
  13.00 MeV   2.989E+03  1.064E+02    7.41 um     3345 A      3921 A   
  14.00 MeV   3.171E+03  1.007E+02    7.72 um     3400 A      3996 A   
  15.00 MeV   3.345E+03  9.559E+01    8.02 um     3448 A      4063 A   
  16.00 MeV   3.510E+03  9.103E+01    8.30 um     3491 A      4123 A   
  17.00 MeV   3.668E+03  8.694E+01    8.58 um     3530 A      4178 A   
  18.00 MeV   3.818E+03  8.323E+01    8.84 um     3565 A      4228 A   
  20.00 MeV   4.095E+03  7.676E+01    9.33 um     3660 A      4316 A   
  22.50 MeV   4.404E+03  7.008E+01    9.91 um     3777 A      4409 A   
  25.00 MeV   4.677E+03  6.456E+01   10.45 um     3877 A      4488 A   
  27.50 MeV   4.921E+03  5.992E+01   10.96 um     3963 A      4556 A   
  30.00 MeV   5.140E+03  5.595E+01   11.45 um     4039 A      4616 A   
  32.50 MeV   5.339E+03  5.252E+01   11.92 um     4108 A      4670 A   
  35.00 MeV   5.521E+03  4.952E+01   12.38 um     4171 A      4718 A   
  37.50 MeV   5.688E+03  4.687E+01   12.82 um     4228 A      4762 A   
  40.00 MeV   5.843E+03  4.451E+01   13.25 um     4282 A      4802 A   
  45.00 MeV   6.119E+03  4.049E+01   14.08 um     4456 A      4874 A   
  50.00 MeV   6.357E+03  3.719E+01   14.88 um     4610 A      4936 A   
  55.00 MeV   6.565E+03  3.442E+01   15.65 um     4749 A      4991 A   
  60.00 MeV   6.745E+03  3.207E+01   16.39 um     4875 A      5041 A   
  65.00 MeV   6.902E+03  3.004E+01   17.12 um     4992 A      5086 A   
  70.00 MeV   7.039E+03  2.827E+01   17.84 um     5102 A      5128 A   
  80.00 MeV   7.262E+03  2.532E+01   19.23 um     5482 A      5202 A   
  90.00 MeV   7.430E+03  2.297E+01   20.58 um     5820 A      5268 A   
 100.00 MeV   7.555E+03  2.105E+01   21.91 um     6126 A      5328 A   
 110.00 MeV   7.646E+03  1.944E+01   23.23 um     6409 A      5382 A   
 120.00 MeV   7.710E+03  1.808E+01   24.53 um     6675 A      5433 A   
 130.00 MeV   7.754E+03  1.690E+01   25.82 um     6926 A      5480 A   
 140.00 MeV   7.780E+03  1.588E+01   27.10 um     7167 A      5525 A   
 150.00 MeV   7.792E+03  1.499E+01   28.38 um     7398 A      5568 A   
 160.00 MeV   7.792E+03  1.419E+01   29.66 um     7622 A      5609 A   
 170.00 MeV   7.784E+03  1.348E+01   30.94 um     7840 A      5649 A   
 180.00 MeV   7.769E+03  1.285E+01   32.23 um     8052 A      5687 A   
 200.00 MeV   7.812E+03  1.175E+01   34.79 um     8838 A      5761 A   
 225.00 MeV   7.862E+03  1.063E+01   37.98 um     9929 A      5848 A   
 250.00 MeV   7.768E+03  9.713E+00   41.17 um     1.09 um     5931 A   
 275.00 MeV   7.664E+03  8.952E+00   44.41 um     1.18 um     6011 A   
 300.00 MeV   7.559E+03  8.309E+00   47.69 um     1.27 um     6089 A   
 325.00 MeV   7.454E+03  7.756E+00   51.01 um     1.36 um     6166 A   
 350.00 MeV   7.351E+03  7.277E+00   54.39 um     1.44 um     6242 A   
 375.00 MeV   7.249E+03  6.856E+00   57.81 um     1.52 um     6318 A   
 400.00 MeV   7.148E+03  6.485E+00   61.28 um     1.60 um     6394 A   
 450.00 MeV   6.952E+03  5.856E+00   68.37 um     1.89 um     6545 A   
