 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 95.923 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 MeV   1.040E+03  9.084E+02    5764 A       989 A       876 A   
   1.30 MeV   1.083E+03  8.735E+02    6248 A      1048 A       938 A   
   1.40 MeV   1.123E+03  8.416E+02    6731 A      1105 A       999 A   
   1.50 MeV   1.162E+03  8.124E+02    7212 A      1160 A      1059 A   
   1.60 MeV   1.200E+03  7.854E+02    7692 A      1213 A      1118 A   
   1.70 MeV   1.236E+03  7.605E+02    8170 A      1264 A      1175 A   
   1.80 MeV   1.272E+03  7.374E+02    8645 A      1313 A      1232 A   
   2.00 MeV   1.341E+03  6.957E+02    9590 A      1409 A      1342 A   
   2.25 MeV   1.425E+03  6.508E+02    1.08 um     1522 A      1474 A   
   2.50 MeV   1.508E+03  6.121E+02    1.19 um     1625 A      1599 A   
   2.75 MeV   1.591E+03  5.784E+02    1.30 um     1721 A      1718 A   
   3.00 MeV   1.675E+03  5.487E+02    1.41 um     1809 A      1832 A   
   3.25 MeV   1.758E+03  5.224E+02    1.52 um     1890 A      1939 A   
   3.50 MeV   1.843E+03  4.988E+02    1.62 um     1965 A      2041 A   
   3.75 MeV   1.927E+03  4.775E+02    1.73 um     2034 A      2138 A   
   4.00 MeV   2.013E+03  4.583E+02    1.83 um     2099 A      2230 A   
   4.50 MeV   2.184E+03  4.246E+02    2.02 um     2221 A      2400 A   
   5.00 MeV   2.355E+03  3.961E+02    2.20 um     2327 A      2554 A   
   5.50 MeV   2.524E+03  3.717E+02    2.37 um     2420 A      2693 A   
   6.00 MeV   2.691E+03  3.504E+02    2.54 um     2501 A      2819 A   
   6.50 MeV   2.855E+03  3.318E+02    2.69 um     2573 A      2934 A   
   7.00 MeV   3.015E+03  3.152E+02    2.84 um     2637 A      3040 A   
   8.00 MeV   3.320E+03  2.871E+02    3.13 um     2760 A      3226 A   
   9.00 MeV   3.605E+03  2.641E+02    3.39 um     2862 A      3385 A   
  10.00 MeV   3.869E+03  2.449E+02    3.64 um     2947 A      3524 A   
  11.00 MeV   4.113E+03  2.286E+02    3.87 um     3021 A      3646 A   
  12.00 MeV   4.338E+03  2.145E+02    4.10 um     3085 A      3755 A   
  13.00 MeV   4.546E+03  2.022E+02    4.31 um     3141 A      3853 A   
  14.00 MeV   4.739E+03  1.914E+02    4.51 um     3192 A      3943 A   
  15.00 MeV   4.917E+03  1.818E+02    4.71 um     3238 A      4024 A   
  16.00 MeV   5.083E+03  1.733E+02    4.90 um     3280 A      4100 A   
  17.00 MeV   5.237E+03  1.655E+02    5.09 um     3318 A      4169 A   
  18.00 MeV   5.382E+03  1.585E+02    5.27 um     3354 A      4234 A   
  20.00 MeV   5.645E+03  1.463E+02    5.62 um     3435 A      4352 A   
  22.50 MeV   5.936E+03  1.337E+02    6.04 um     3534 A      4482 A   
  25.00 MeV   6.193E+03  1.232E+02    6.44 um     3621 A      4596 A   
  27.50 MeV   6.426E+03  1.144E+02    6.83 um     3698 A      4698 A   
  30.00 MeV   6.640E+03  1.069E+02    7.20 um     3767 A      4790 A   
  32.50 MeV   6.839E+03  1.004E+02    7.57 um     3831 A      4874 A   
  35.00 MeV   7.026E+03  9.470E+01    7.92 um     3889 A      4951 A   
  37.50 MeV   7.203E+03  8.966E+01    8.27 um     3943 A      5022 A   
  40.00 MeV   7.372E+03  8.518E+01    8.61 um     3993 A      5089 A   
  45.00 MeV   7.690E+03  7.754E+01    9.26 um     4137 A      5209 A   
  50.00 MeV   7.986E+03  7.125E+01    9.89 um     4264 A      5316 A   
  55.00 MeV   8.265E+03  6.597E+01   10.50 um     4378 A      5412 A   
  60.00 MeV   8.528E+03  6.148E+01   11.09 um     4481 A      5500 A   
  65.00 MeV   8.778E+03  5.761E+01   11.66 um     4576 A      5580 A   
  70.00 MeV   9.014E+03  5.423E+01   12.22 um     4663 A      5653 A   
  80.00 MeV   9.452E+03  4.861E+01   13.30 um     4938 A      5785 A   
  90.00 MeV   9.846E+03  4.412E+01   14.33 um     5176 A      5900 A   
 100.00 MeV   1.020E+04  4.044E+01   15.32 um     5387 A      6003 A   
 110.00 MeV   1.052E+04  3.736E+01   16.28 um     5576 A      6096 A   
 120.00 MeV   1.080E+04  3.475E+01   17.21 um     5749 A      6181 A   
 130.00 MeV   1.105E+04  3.251E+01   18.13 um     5908 A      6259 A   
 140.00 MeV   1.127E+04  3.055E+01   19.02 um     6056 A      6331 A   
 150.00 MeV   1.147E+04  2.883E+01   19.89 um     6195 A      6399 A   
 160.00 MeV   1.164E+04  2.731E+01   20.76 um     6327 A      6463 A   
 170.00 MeV   1.179E+04  2.595E+01   21.61 um     6452 A      6523 A   
 180.00 MeV   1.193E+04  2.473E+01   22.45 um     6571 A      6581 A   
 200.00 MeV   1.215E+04  2.262E+01   24.11 um     6995 A      6688 A   
 225.00 MeV   1.224E+04  2.047E+01   26.15 um     7590 A      6811 A   
 250.00 MeV   1.226E+04  1.872E+01   28.19 um     8136 A      6926 A   
 275.00 MeV   1.227E+04  1.725E+01   30.22 um     8646 A      7034 A   
 300.00 MeV   1.224E+04  1.602E+01   32.26 um     9128 A      7137 A   
 325.00 MeV   1.217E+04  1.496E+01   34.31 um     9589 A      7236 A   
 350.00 MeV   1.209E+04  1.403E+01   36.36 um     1.00 um     7332 A   
 375.00 MeV   1.198E+04  1.323E+01   38.44 um     1.05 um     7426 A   
 400.00 MeV   1.186E+04  1.251E+01   40.53 um     1.09 um     7518 A   
 450.00 MeV   1.160E+04  1.130E+01   44.79 um     1.25 um     7698 A   
 500.00 MeV   1.132E+04  1.032E+01   49.15 um     1.39 um     7876 A   
 550.00 MeV   1.102E+04  9.498E+00   53.63 um     1.53 um     8052 A   
 600.00 MeV   1.073E+04  8.807E+00   58.22 um     1.66 um     8229 A   
 650.00 MeV   1.045E+04  8.214E+00   62.94 um     1.79 um     8407 A   
 700.00 MeV   1.017E+04  7.700E+00   67.78 um     1.92 um     8587 A   
 800.00 MeV   9.656E+03  6.853E+00   77.86 um     2.40 um     8956 A   
 900.00 MeV   9.184E+03  6.182E+00   88.48 um     2.83 um     9340 A   
   1.00 GeV   8.757E+03  5.636E+00   99.63 um     3.24 um     9740 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  2.0854E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
