 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 325.00 keV   8.444E+01  8.811E-02    3.63 um     1499 A      1799 A   
 350.00 keV   8.140E+01  8.271E-02    3.93 um     1573 A      1858 A   
 375.00 keV   7.852E+01  7.798E-02    4.24 um     1650 A      1918 A   
 400.00 keV   7.582E+01  7.379E-02    4.56 um     1728 A      1980 A   
 450.00 keV   7.092E+01  6.670E-02    5.24 um     2008 A      2111 A   
 500.00 keV   6.663E+01  6.092E-02    5.97 um     2285 A      2250 A   
 550.00 keV   6.286E+01  5.612E-02    6.74 um     2562 A      2397 A   
 600.00 keV   5.955E+01  5.206E-02    7.56 um     2841 A      2554 A   
 650.00 keV   5.661E+01  4.857E-02    8.42 um     3122 A      2719 A   
 700.00 keV   5.399E+01  4.555E-02    9.32 um     3405 A      2893 A   
 800.00 keV   4.952E+01  4.056E-02   11.25 um     4423 A      3268 A   
 900.00 keV   4.584E+01  3.661E-02   13.35 um     5383 A      3676 A   
   1.00 MeV   4.277E+01  3.339E-02   15.60 um     6317 A      4117 A   
   1.10 MeV   4.015E+01  3.072E-02   18.01 um     7240 A      4589 A   
   1.20 MeV   3.789E+01  2.847E-02   20.57 um     8160 A      5090 A   
   1.30 MeV   3.592E+01  2.654E-02   23.28 um     9081 A      5619 A   
   1.40 MeV   3.419E+01  2.487E-02   26.13 um     1.00 um     6176 A   
   1.50 MeV   3.264E+01  2.340E-02   29.11 um     1.09 um     6758 A   
   1.60 MeV   3.126E+01  2.211E-02   32.24 um     1.19 um     7366 A   
   1.70 MeV   3.002E+01  2.096E-02   35.50 um     1.28 um     7997 A   
   1.80 MeV   2.890E+01  1.993E-02   38.89 um     1.38 um     8652 A   
   2.00 MeV   2.693E+01  1.816E-02   46.05 um     1.73 um     1.00 um  
   2.25 MeV   2.532E+01  1.636E-02   55.62 um     2.21 um     1.19 um  
   2.50 MeV   2.367E+01  1.490E-02   65.82 um     2.66 um     1.38 um  
   2.75 MeV   2.209E+01  1.370E-02   76.74 um     3.09 um     1.58 um  
   3.00 MeV   2.072E+01  1.268E-02   88.41 um     3.53 um     1.80 um  
   3.25 MeV   1.953E+01  1.181E-02  100.82 um     3.96 um     2.03 um  
   3.50 MeV   1.847E+01  1.105E-02  113.98 um     4.40 um     2.27 um  
   3.75 MeV   1.753E+01  1.039E-02  127.85 um     4.84 um     2.52 um  
   4.00 MeV   1.669E+01  9.810E-03  142.46 um     5.29 um     2.78 um  
   4.50 MeV   1.524E+01  8.830E-03  173.78 um     6.95 um     3.35 um  
   5.00 MeV   1.405E+01  8.036E-03  207.92 um     8.51 um     3.95 um  
   5.50 MeV   1.304E+01  7.378E-03  244.84 um    10.04 um     4.61 um  
   6.00 MeV   1.218E+01  6.825E-03  284.48 um    11.55 um     5.31 um  
   6.50 MeV   1.144E+01  6.351E-03  326.80 um    13.07 um     6.05 um  
   7.00 MeV   1.079E+01  5.942E-03  371.77 um    14.60 um     6.83 um  
   8.00 MeV   9.705E+00  5.270E-03  469.44 um    20.22 um     8.53 um  
   9.00 MeV   8.836E+00  4.739E-03  577.35 um    25.46 um    10.39 um  
  10.00 MeV   8.122E+00  4.309E-03  695.30 um    30.57 um    12.42 um  
  11.00 MeV   7.524E+00  3.954E-03  823.13 um    35.66 um    14.60 um  
  12.00 MeV   7.015E+00  3.655E-03  960.67 um    40.78 um    16.94 um  
  13.00 MeV   6.576E+00  3.400E-03    1.11 mm    45.96 um    19.43 um  
  14.00 MeV   6.193E+00  3.179E-03    1.26 mm    51.20 um    22.07 um  
  15.00 MeV   5.856E+00  2.986E-03    1.43 mm    56.52 um    24.86 um  
  16.00 MeV   5.557E+00  2.817E-03    1.61 mm    61.93 um    27.79 um  
  17.00 MeV   5.290E+00  2.666E-03    1.79 mm    67.42 um    30.87 um  
  18.00 MeV   5.049E+00  2.531E-03    1.98 mm    73.00 um    34.09 um  
  20.00 MeV   4.633E+00  2.300E-03    2.40 mm    93.98 um    40.96 um  
  22.50 MeV   4.207E+00  2.067E-03    2.96 mm   124.02 um    50.32 um  
  25.00 MeV   3.859E+00  1.878E-03    3.58 mm   152.50 um    60.53 um  
  27.50 MeV   3.569E+00  1.721E-03    4.26 mm   180.45 um    71.56 um  
  30.00 MeV   3.322E+00  1.590E-03    4.98 mm   208.30 um    83.41 um  
  32.50 MeV   3.111E+00  1.478E-03    5.76 mm   236.29 um    96.05 um  
  35.00 MeV   2.927E+00  1.381E-03    6.59 mm   264.54 um   109.47 um  
  37.50 MeV   2.765E+00  1.297E-03    7.46 mm   293.14 um   123.66 um  
  40.00 MeV   2.622E+00  1.223E-03    8.39 mm   322.12 um   138.61 um  
  45.00 MeV   2.380E+00  1.098E-03   10.39 mm   430.51 um   170.75 um  
  50.00 MeV   2.183E+00  9.969E-04   12.58 mm   532.44 um   205.81 um  
  55.00 MeV   2.019E+00  9.136E-04   14.96 mm   631.98 um   243.70 um  
  60.00 MeV   1.880E+00  8.435E-04   17.53 mm   730.90 um   284.37 um  
  65.00 MeV   1.761E+00  7.838E-04   20.28 mm   830.07 um   327.74 um  
  70.00 MeV   1.658E+00  7.322E-04   23.20 mm   929.98 um   373.77 um  
  80.00 MeV   1.488E+00  6.477E-04   29.56 mm     1.30 mm   473.58 um  
  90.00 MeV   1.353E+00  5.812E-04   36.61 mm     1.64 mm   583.41 um  
 100.00 MeV   1.243E+00  5.275E-04   44.32 mm     1.98 mm   702.88 um  
 110.00 MeV   1.152E+00  4.832E-04   52.68 mm     2.31 mm   831.67 um  
 120.00 MeV   1.075E+00  4.459E-04   61.66 mm     2.64 mm   969.47 um  
 130.00 MeV   1.009E+00  4.142E-04   71.26 mm     2.98 mm     1.12 mm  
 140.00 MeV   9.522E-01  3.868E-04   81.45 mm     3.32 mm     1.27 mm  
 150.00 MeV   9.024E-01  3.630E-04   92.24 mm     3.66 mm     1.43 mm  
 160.00 MeV   8.584E-01  3.420E-04  103.59 mm     4.00 mm     1.61 mm  
 170.00 MeV   8.194E-01  3.234E-04  115.51 mm     4.35 mm     1.78 mm  
 180.00 MeV   7.844E-01  3.067E-04  127.97 mm     4.71 mm     1.97 mm  
 200.00 MeV   7.245E-01  2.783E-04  154.49 mm     6.04 mm     2.37 mm  
 225.00 MeV   6.637E-01  2.495E-04  190.53 mm     7.93 mm     2.90 mm  
 250.00 MeV   6.146E-01  2.263E-04  229.66 mm     9.69 mm     3.47 mm  
 275.00 MeV   5.740E-01  2.072E-04  271.74 mm    11.40 mm     4.08 mm  
 300.00 MeV   5.398E-01  1.912E-04  316.63 mm    13.07 mm     4.73 mm  
 325.00 MeV   5.107E-01  1.775E-04  364.22 mm    14.73 mm     5.41 mm  
 350.00 MeV   4.856E-01  1.657E-04  414.40 mm    16.39 mm     6.12 mm  
 375.00 MeV   4.638E-01  1.554E-04  467.05 mm    18.03 mm     6.86 mm  
 400.00 MeV   4.446E-01  1.464E-04  522.08 mm    19.67 mm     7.63 mm  
 450.00 MeV   4.123E-01  1.312E-04  638.83 mm    25.75 mm     9.24 mm  
 500.00 MeV   3.864E-01  1.190E-04  764.05 mm    31.32 mm    10.95 mm  
 550.00 MeV   3.651E-01  1.089E-04  897.11 mm    36.60 mm    12.74 mm  
 600.00 MeV   3.474E-01  1.004E-04    1.04 m     41.71 mm    14.61 mm  
 650.00 MeV   3.323E-01  9.321E-05    1.18 m     46.69 mm    16.54 mm  
 700.00 MeV   3.194E-01  8.699E-05    1.34 m     51.56 mm    18.53 mm  
 800.00 MeV   2.984E-01  7.682E-05    1.66 m     69.10 mm    22.65 mm  
 900.00 MeV   2.822E-01  6.883E-05    2.01 m     84.68 mm    26.94 mm  
   1.00 GeV   2.694E-01  6.239E-05    2.37 m     99.14 mm    31.36 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  9.4077E-03                keV / (ug/cm2) 
  9.4077E-03                MeV / (mg/cm2) 
  9.4077E+00                keV / (mg/cm2) 
  8.3513E-02                 eV / (1E15 atoms/cm2)
  2.3124E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
