 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.60 MeV   4.093E+01  3.269E-02   25.84 um     9179 A      5558 A   
   1.70 MeV   3.932E+01  3.099E-02   28.33 um     9886 A      5959 A   
   1.80 MeV   3.785E+01  2.947E-02   30.92 um     1.06 um     6376 A   
   2.00 MeV   3.528E+01  2.686E-02   36.39 um     1.32 um     7257 A   
   2.25 MeV   3.261E+01  2.420E-02   43.75 um     1.70 um     8441 A   
   2.50 MeV   3.039E+01  2.205E-02   51.68 um     2.05 um     9712 A   
   2.75 MeV   2.851E+01  2.026E-02   60.17 um     2.39 um     1.11 um  
   3.00 MeV   2.690E+01  1.876E-02   69.19 um     2.72 um     1.25 um  
   3.25 MeV   2.582E+01  1.747E-02   78.66 um     3.05 um     1.40 um  
   3.50 MeV   2.477E+01  1.636E-02   88.54 um     3.37 um     1.55 um  
   3.75 MeV   2.365E+01  1.538E-02   98.86 um     3.68 um     1.71 um  
   4.00 MeV   2.256E+01  1.452E-02  109.67 um     4.01 um     1.88 um  
   4.50 MeV   2.070E+01  1.307E-02  132.80 um     5.20 um     2.24 um  
   5.00 MeV   1.914E+01  1.190E-02  157.90 um     6.33 um     2.62 um  
   5.50 MeV   1.781E+01  1.093E-02  184.97 um     7.43 um     3.02 um  
   6.00 MeV   1.667E+01  1.011E-02  213.97 um     8.52 um     3.46 um  
   6.50 MeV   1.567E+01  9.408E-03  244.88 um     9.61 um     3.91 um  
   7.00 MeV   1.480E+01  8.802E-03  277.69 um    10.71 um     4.40 um  
   8.00 MeV   1.334E+01  7.807E-03  348.82 um    14.77 um     5.44 um  
   9.00 MeV   1.217E+01  7.022E-03  427.27 um    18.55 um     6.58 um  
  10.00 MeV   1.120E+01  6.386E-03  512.90 um    22.23 um     7.82 um  
  11.00 MeV   1.038E+01  5.860E-03  605.59 um    25.90 um     9.15 um  
  12.00 MeV   9.692E+00  5.417E-03  705.20 um    29.58 um    10.57 um  
  13.00 MeV   9.094E+00  5.039E-03  811.65 um    33.29 um    12.08 um  
  14.00 MeV   8.572E+00  4.713E-03  924.84 um    37.05 um    13.69 um  
  15.00 MeV   8.112E+00  4.427E-03    1.04 mm    40.86 um    15.38 um  
  16.00 MeV   7.702E+00  4.176E-03    1.17 mm    44.73 um    17.16 um  
  17.00 MeV   7.336E+00  3.953E-03    1.30 mm    48.66 um    19.02 um  
  18.00 MeV   7.006E+00  3.753E-03    1.44 mm    52.64 um    20.97 um  
  20.00 MeV   6.434E+00  3.411E-03    1.74 mm    67.68 um    25.12 um  
  22.50 MeV   5.849E+00  3.065E-03    2.15 mm    89.22 um    30.77 um  
  25.00 MeV   5.369E+00  2.785E-03    2.59 mm   109.62 um    36.92 um  
  27.50 MeV   4.967E+00  2.553E-03    3.08 mm   129.61 um    43.56 um  
  30.00 MeV   4.627E+00  2.359E-03    3.60 mm   149.52 um    50.69 um  
  32.50 MeV   4.333E+00  2.193E-03    4.16 mm   169.52 um    58.29 um  
  35.00 MeV   4.078E+00  2.050E-03    4.75 mm   189.70 um    66.36 um  
  37.50 MeV   3.854E+00  1.924E-03    5.38 mm   210.12 um    74.88 um  
  40.00 MeV   3.655E+00  1.814E-03    6.05 mm   230.81 um    83.86 um  
  45.00 MeV   3.318E+00  1.629E-03    7.48 mm   308.43 um   103.17 um  
  50.00 MeV   3.043E+00  1.479E-03    9.06 mm   381.40 um   124.22 um  
  55.00 MeV   2.813E+00  1.356E-03   10.76 mm   452.68 um   146.98 um  
  60.00 MeV   2.619E+00  1.252E-03   12.61 mm   523.52 um   171.42 um  
  65.00 MeV   2.452E+00  1.163E-03   14.58 mm   594.58 um   197.49 um  
  70.00 MeV   2.307E+00  1.087E-03   16.68 mm   666.19 um   225.18 um  
  80.00 MeV   2.068E+00  9.615E-04   21.26 mm   931.74 um   285.28 um  
  90.00 MeV   1.878E+00  8.629E-04   26.33 mm     1.18 mm   351.53 um  
 100.00 MeV   1.723E+00  7.832E-04   31.89 mm     1.42 mm   423.72 um  
 110.00 MeV   1.594E+00  7.175E-04   37.92 mm     1.66 mm   501.70 um  
 120.00 MeV   1.486E+00  6.622E-04   44.41 mm     1.90 mm   585.30 um  
 130.00 MeV   1.392E+00  6.151E-04   51.36 mm     2.14 mm   674.40 um  
 140.00 MeV   1.312E+00  5.745E-04   58.76 mm     2.39 mm   768.84 um  
 150.00 MeV   1.241E+00  5.391E-04   66.59 mm     2.64 mm   868.52 um  
 160.00 MeV   1.179E+00  5.079E-04   74.86 mm     2.89 mm   973.31 um  
 170.00 MeV   1.123E+00  4.803E-04   83.55 mm     3.15 mm     1.08 mm  
 180.00 MeV   1.073E+00  4.556E-04   92.65 mm     3.41 mm     1.20 mm  
 200.00 MeV   9.879E-01  4.133E-04  112.06 mm     4.39 mm     1.44 mm  
 225.00 MeV   9.012E-01  3.707E-04  138.55 mm     5.78 mm     1.77 mm  
 250.00 MeV   8.309E-01  3.363E-04  167.44 mm     7.10 mm     2.13 mm  
 275.00 MeV   7.726E-01  3.079E-04  198.63 mm     8.37 mm     2.51 mm  
 300.00 MeV   7.236E-01  2.840E-04  232.06 mm     9.63 mm     2.92 mm  
 325.00 MeV   6.817E-01  2.637E-04  267.64 mm    10.88 mm     3.35 mm  
 350.00 MeV   6.455E-01  2.462E-04  305.32 mm    12.14 mm     3.81 mm  
 375.00 MeV   6.138E-01  2.310E-04  345.02 mm    13.39 mm     4.29 mm  
 400.00 MeV   5.860E-01  2.175E-04  386.69 mm    14.66 mm     4.78 mm  
 450.00 MeV   5.392E-01  1.950E-04  475.62 mm    19.35 mm     5.84 mm  
 500.00 MeV   5.014E-01  1.768E-04  571.77 mm    23.69 mm     6.97 mm  
 550.00 MeV   4.702E-01  1.618E-04  674.71 mm    27.85 mm     8.16 mm  
 600.00 MeV   4.441E-01  1.493E-04  784.10 mm    31.91 mm     9.42 mm  
 650.00 MeV   4.218E-01  1.385E-04  899.59 mm    35.90 mm    10.74 mm  
 700.00 MeV   4.027E-01  1.293E-04    1.02 m     39.84 mm    12.11 mm  
 800.00 MeV   3.714E-01  1.142E-04    1.28 m     54.17 mm    14.99 mm  
 900.00 MeV   3.470E-01  1.023E-04    1.56 m     67.07 mm    18.04 mm  
   1.00 GeV   3.275E-01  9.275E-05    1.85 m     79.20 mm    21.23 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
