 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.375E+01  2.849E+00    1831 A       808 A       730 A   
  11.00 keV   4.582E+01  2.698E+00    1994 A       844 A       771 A   
  12.00 keV   4.777E+01  2.564E+00    2152 A       877 A       810 A   
  13.00 keV   4.960E+01  2.445E+00    2308 A       908 A       847 A   
  14.00 keV   5.131E+01  2.338E+00    2461 A       937 A       882 A   
  15.00 keV   5.292E+01  2.241E+00    2611 A       963 A       915 A   
  16.00 keV   5.444E+01  2.154E+00    2759 A       988 A       947 A   
  17.00 keV   5.588E+01  2.073E+00    2905 A      1012 A       977 A   
  18.00 keV   5.725E+01  2.000E+00    3049 A      1034 A      1006 A   
  20.00 keV   5.985E+01  1.869E+00    3330 A      1075 A      1061 A   
  22.50 keV   6.292E+01  1.731E+00    3673 A      1121 A      1124 A   
  25.00 keV   6.588E+01  1.614E+00    4004 A      1162 A      1182 A   
  27.50 keV   6.878E+01  1.513E+00    4326 A      1199 A      1235 A   
  30.00 keV   7.162E+01  1.426E+00    4638 A      1232 A      1284 A   
  32.50 keV   7.442E+01  1.350E+00    4941 A      1263 A      1330 A   
  35.00 keV   7.715E+01  1.282E+00    5236 A      1290 A      1373 A   
  37.50 keV   7.980E+01  1.222E+00    5523 A      1315 A      1413 A   
  40.00 keV   8.238E+01  1.167E+00    5802 A      1339 A      1451 A   
  45.00 keV   8.724E+01  1.073E+00    6341 A      1381 A      1520 A   
  50.00 keV   9.171E+01  9.948E-01    6857 A      1418 A      1581 A   
  55.00 keV   9.576E+01  9.282E-01    7353 A      1450 A      1637 A   
  60.00 keV   9.942E+01  8.708E-01    7833 A      1479 A      1689 A   
  65.00 keV   1.027E+02  8.207E-01    8299 A      1505 A      1736 A   
  70.00 keV   1.056E+02  7.767E-01    8753 A      1529 A      1780 A   
  80.00 keV   1.105E+02  7.027E-01    9634 A      1573 A      1860 A   
  90.00 keV   1.143E+02  6.427E-01    1.05 um     1612 A      1931 A   
 100.00 keV   1.172E+02  5.931E-01    1.13 um     1646 A      1997 A   
 110.00 keV   1.193E+02  5.512E-01    1.21 um     1678 A      2057 A   
 120.00 keV   1.209E+02  5.153E-01    1.29 um     1707 A      2113 A   
 130.00 keV   1.219E+02  4.842E-01    1.37 um     1734 A      2167 A   
 140.00 keV   1.226E+02  4.570E-01    1.45 um     1759 A      2218 A   
 150.00 keV   1.229E+02  4.329E-01    1.53 um     1783 A      2267 A   
 160.00 keV   1.230E+02  4.114E-01    1.61 um     1806 A      2314 A   
 170.00 keV   1.229E+02  3.922E-01    1.69 um     1829 A      2359 A   
 180.00 keV   1.226E+02  3.748E-01    1.77 um     1850 A      2404 A   
 200.00 keV   1.216E+02  3.447E-01    1.93 um     1899 A      2490 A   
 225.00 keV   1.198E+02  3.137E-01    2.14 um     1961 A      2594 A   
 250.00 keV   1.177E+02  2.882E-01    2.34 um     2021 A      2695 A   
 275.00 keV   1.155E+02  2.668E-01    2.55 um     2080 A      2794 A   
 300.00 keV   1.132E+02  2.486E-01    2.77 um     2138 A      2893 A   
 325.00 keV   1.109E+02  2.329E-01    2.99 um     2196 A      2990 A   
 350.00 keV   1.086E+02  2.192E-01    3.22 um     2255 A      3088 A   
 375.00 keV   1.064E+02  2.071E-01    3.45 um     2313 A      3185 A   
 400.00 keV   1.042E+02  1.964E-01    3.68 um     2371 A      3283 A   
 450.00 keV   1.001E+02  1.783E-01    4.17 um     2536 A      3482 A   
 500.00 keV   9.637E+01  1.634E-01    4.67 um     2701 A      3684 A   
 550.00 keV   9.290E+01  1.509E-01    5.20 um     2868 A      3890 A   
 600.00 keV   8.971E+01  1.404E-01    5.74 um     3036 A      4101 A   
 650.00 keV   8.677E+01  1.313E-01    6.30 um     3206 A      4316 A   
 700.00 keV   8.406E+01  1.234E-01    6.88 um     3379 A      4537 A   
 800.00 keV   7.922E+01  1.103E-01    8.10 um     3920 A      4994 A   
 900.00 keV   7.504E+01  9.982E-02    9.39 um     4451 A      5471 A   
   1.00 MeV   7.138E+01  9.130E-02   10.75 um     4975 A      5968 A   
   1.10 MeV   6.816E+01  8.420E-02   12.17 um     5498 A      6485 A   
   1.20 MeV   6.529E+01  7.819E-02   13.67 um     6019 A      7021 A   
   1.30 MeV   6.272E+01  7.303E-02   15.22 um     6542 A      7574 A   
   1.40 MeV   6.040E+01  6.855E-02   16.84 um     7066 A      8146 A   
   1.50 MeV   5.829E+01  6.461E-02   18.52 um     7593 A      8734 A   
   1.60 MeV   5.637E+01  6.113E-02   20.25 um     8122 A      9339 A   
   1.70 MeV   5.461E+01  5.803E-02   22.05 um     8654 A      9959 A   
   1.80 MeV   5.299E+01  5.525E-02   23.90 um     9189 A      1.06 um  
   2.00 MeV   5.010E+01  5.045E-02   27.77 um     1.10 um     1.19 um  
   2.25 MeV   4.702E+01  4.557E-02   32.90 um     1.35 um     1.36 um  
   2.50 MeV   4.441E+01  4.159E-02   38.35 um     1.59 um     1.54 um  
   2.75 MeV   4.216E+01  3.829E-02   44.11 um     1.82 um     1.73 um  
   3.00 MeV   4.021E+01  3.550E-02   50.16 um     2.04 um     1.93 um  
   3.25 MeV   3.849E+01  3.311E-02   56.49 um     2.26 um     2.13 um  
   3.50 MeV   3.677E+01  3.104E-02   63.12 um     2.49 um     2.34 um  
   3.75 MeV   3.518E+01  2.922E-02   70.05 um     2.71 um     2.56 um  
   4.00 MeV   3.381E+01  2.762E-02   77.27 um     2.93 um     2.78 um  
   4.50 MeV   3.141E+01  2.491E-02   92.57 um     3.71 um     3.25 um  
   5.00 MeV   2.935E+01  2.271E-02  109.00 um     4.45 um     3.75 um  
   5.50 MeV   2.758E+01  2.088E-02  126.53 um     5.17 um     4.27 um  
   6.00 MeV   2.602E+01  1.934E-02  145.15 um     5.88 um     4.82 um  
   6.50 MeV   2.465E+01  1.803E-02  164.84 um     6.58 um     5.40 um  
   7.00 MeV   2.343E+01  1.688E-02  185.60 um     7.29 um     6.01 um  
   8.00 MeV   2.136E+01  1.500E-02  230.20 um     9.79 um     7.29 um  
