 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.153E+01  9.800E-01    1356 A       528 A       495 A   
  11.00 keV   7.487E+01  9.272E-01    1467 A       547 A       519 A   
  12.00 keV   7.812E+01  8.806E-01    1575 A       563 A       541 A   
  13.00 keV   8.125E+01  8.391E-01    1680 A       579 A       561 A   
  14.00 keV   8.426E+01  8.020E-01    1782 A       593 A       580 A   
  15.00 keV   8.713E+01  7.684E-01    1882 A       606 A       598 A   
  16.00 keV   8.986E+01  7.379E-01    1980 A       618 A       615 A   
  17.00 keV   9.244E+01  7.101E-01    2075 A       630 A       632 A   
  18.00 keV   9.487E+01  6.846E-01    2169 A       640 A       647 A   
  20.00 keV   9.931E+01  6.394E-01    2351 A       660 A       676 A   
  22.50 keV   1.041E+02  5.916E-01    2571 A       681 A       708 A   
  25.00 keV   1.081E+02  5.513E-01    2785 A       700 A       738 A   
  27.50 keV   1.115E+02  5.167E-01    2993 A       717 A       766 A   
  30.00 keV   1.142E+02  4.867E-01    3197 A       733 A       791 A   
  32.50 keV   1.165E+02  4.604E-01    3398 A       748 A       816 A   
  35.00 keV   1.183E+02  4.372E-01    3596 A       761 A       839 A   
  37.50 keV   1.197E+02  4.164E-01    3793 A       774 A       861 A   
  40.00 keV   1.208E+02  3.977E-01    3988 A       786 A       882 A   
  45.00 keV   1.223E+02  3.655E-01    4377 A       809 A       922 A   
  50.00 keV   1.229E+02  3.386E-01    4765 A       830 A       959 A   
  55.00 keV   1.230E+02  3.158E-01    5153 A       850 A       996 A   
  60.00 keV   1.226E+02  2.961E-01    5543 A       868 A      1031 A   
  65.00 keV   1.219E+02  2.790E-01    5936 A       886 A      1064 A   
  70.00 keV   1.209E+02  2.640E-01    6333 A       904 A      1098 A   
  80.00 keV   1.186E+02  2.387E-01    7141 A       941 A      1163 A   
  90.00 keV   1.160E+02  2.182E-01    7968 A       976 A      1227 A   
 100.00 keV   1.133E+02  2.013E-01    8816 A      1011 A      1290 A   
 110.00 keV   1.105E+02  1.870E-01    9688 A      1045 A      1353 A   
 120.00 keV   1.078E+02  1.748E-01    1.06 um     1079 A      1417 A   
 130.00 keV   1.052E+02  1.642E-01    1.15 um     1113 A      1480 A   
 140.00 keV   1.026E+02  1.549E-01    1.24 um     1147 A      1545 A   
 150.00 keV   1.002E+02  1.467E-01    1.34 um     1182 A      1610 A   
 160.00 keV   9.793E+01  1.395E-01    1.44 um     1216 A      1676 A   
 170.00 keV   9.575E+01  1.329E-01    1.54 um     1251 A      1742 A   
 180.00 keV   9.367E+01  1.270E-01    1.65 um     1287 A      1810 A   
 200.00 keV   8.980E+01  1.167E-01    1.86 um     1375 A      1948 A   
 225.00 keV   8.548E+01  1.062E-01    2.14 um     1497 A      2126 A   
 250.00 keV   8.164E+01  9.755E-02    2.44 um     1620 A      2310 A   
 275.00 keV   7.821E+01  9.029E-02    2.74 um     1745 A      2500 A   
 300.00 keV   7.513E+01  8.412E-02    3.07 um     1872 A      2697 A   
 325.00 keV   7.234E+01  7.879E-02    3.40 um     2001 A      2899 A   
 350.00 keV   6.981E+01  7.415E-02    3.75 um     2132 A      3108 A   
 375.00 keV   6.750E+01  7.006E-02    4.11 um     2264 A      3322 A   
 400.00 keV   6.537E+01  6.643E-02    4.48 um     2398 A      3541 A   
 450.00 keV   6.161E+01  6.027E-02    5.26 um     2781 A      3996 A   
