 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  25.00 keV   8.919E+01  6.402E+00    2422 A       988 A       905 A   
  27.50 keV   9.476E+01  6.052E+00    2625 A      1029 A       953 A   
  30.00 keV   1.001E+02  5.744E+00    2820 A      1065 A       998 A   
  32.50 keV   1.054E+02  5.470E+00    3010 A      1099 A      1040 A   
  35.00 keV   1.104E+02  5.225E+00    3193 A      1129 A      1078 A   
  37.50 keV   1.154E+02  5.004E+00    3372 A      1156 A      1114 A   
  40.00 keV   1.201E+02  4.803E+00    3545 A      1182 A      1148 A   
  45.00 keV   1.293E+02  4.452E+00    3878 A      1227 A      1210 A   
  50.00 keV   1.380E+02  4.155E+00    4194 A      1266 A      1265 A   
  55.00 keV   1.463E+02  3.900E+00    4497 A      1300 A      1314 A   
  60.00 keV   1.541E+02  3.678E+00    4788 A      1330 A      1359 A   
  65.00 keV   1.617E+02  3.483E+00    5067 A      1357 A      1400 A   
  70.00 keV   1.689E+02  3.310E+00    5336 A      1382 A      1438 A   
  80.00 keV   1.823E+02  3.017E+00    5850 A      1424 A      1505 A   
  90.00 keV   1.947E+02  2.776E+00    6335 A      1459 A      1564 A   
 100.00 keV   2.062E+02  2.575E+00    6795 A      1490 A      1616 A   
 110.00 keV   2.168E+02  2.404E+00    7236 A      1516 A      1662 A   
 120.00 keV   2.265E+02  2.256E+00    7658 A      1539 A      1704 A   
 130.00 keV   2.356E+02  2.128E+00    8066 A      1560 A      1742 A   
 140.00 keV   2.440E+02  2.015E+00    8462 A      1578 A      1777 A   
 150.00 keV   2.518E+02  1.914E+00    8845 A      1595 A      1809 A   
 160.00 keV   2.590E+02  1.824E+00    9219 A      1611 A      1839 A   
 170.00 keV   2.657E+02  1.743E+00    9584 A      1625 A      1867 A   
 180.00 keV   2.719E+02  1.669E+00    9942 A      1638 A      1894 A   
 200.00 keV   2.830E+02  1.541E+00    1.06 um     1663 A      1942 A   
 225.00 keV   2.947E+02  1.408E+00    1.15 um     1691 A      1996 A   
 250.00 keV   3.044E+02  1.299E+00    1.23 um     1715 A      2045 A   
 275.00 keV   3.123E+02  1.206E+00    1.31 um     1737 A      2089 A   
 300.00 keV   3.187E+02  1.127E+00    1.39 um     1757 A      2130 A   
 325.00 keV   3.238E+02  1.058E+00    1.46 um     1776 A      2168 A   
 350.00 keV   3.279E+02  9.984E-01    1.54 um     1793 A      2204 A   
 375.00 keV   3.310E+02  9.454E-01    1.61 um     1809 A      2238 A   
 400.00 keV   3.334E+02  8.983E-01    1.69 um     1824 A      2271 A   
 450.00 keV   3.362E+02  8.178E-01    1.83 um     1859 A      2332 A   
 500.00 keV   3.370E+02  7.516E-01    1.98 um     1891 A      2389 A   
 550.00 keV   3.363E+02  6.960E-01    2.13 um     1921 A      2443 A   
 600.00 keV   3.345E+02  6.487E-01    2.27 um     1951 A      2495 A   
 650.00 keV   3.319E+02  6.079E-01    2.42 um     1979 A      2545 A   
 700.00 keV   3.288E+02  5.723E-01    2.57 um     2007 A      2594 A   
 800.00 keV   3.213E+02  5.131E-01    2.88 um     2084 A      2689 A   
 900.00 keV   3.131E+02  4.658E-01    3.19 um     2160 A      2782 A   
   1.00 MeV   3.046E+02  4.270E-01    3.51 um     2237 A      2874 A   
   1.10 MeV   2.961E+02  3.945E-01    3.84 um     2314 A      2967 A   
   1.20 MeV   2.878E+02  3.670E-01    4.18 um     2392 A      3060 A   
   1.30 MeV   2.798E+02  3.433E-01    4.53 um     2471 A      3153 A   
   1.40 MeV   2.722E+02  3.227E-01    4.89 um     2551 A      3249 A   
