 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 14, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C.txt

 Ion = Krypton [36] , Mass = 81.913 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 MeV   6.484E+02  3.323E+02    1.41 um     1267 A      1287 A   
   1.50 MeV   6.723E+02  3.194E+02    1.51 um     1327 A      1361 A   
   1.60 MeV   6.964E+02  3.076E+02    1.61 um     1383 A      1434 A   
   1.70 MeV   7.207E+02  2.968E+02    1.71 um     1437 A      1503 A   
   1.80 MeV   7.450E+02  2.868E+02    1.80 um     1488 A      1571 A   
   2.00 MeV   7.936E+02  2.690E+02    1.99 um     1594 A      1700 A   
   2.25 MeV   8.535E+02  2.500E+02    2.22 um     1718 A      1850 A   
   2.50 MeV   9.118E+02  2.339E+02    2.44 um     1827 A      1989 A   
   2.75 MeV   9.683E+02  2.200E+02    2.65 um     1924 A      2117 A   
   3.00 MeV   1.023E+03  2.079E+02    2.85 um     2011 A      2235 A   
   3.25 MeV   1.076E+03  1.972E+02    3.05 um     2090 A      2346 A   
   3.50 MeV   1.127E+03  1.876E+02    3.24 um     2161 A      2448 A   
   3.75 MeV   1.177E+03  1.791E+02    3.43 um     2227 A      2544 A   
   4.00 MeV   1.226E+03  1.714E+02    3.61 um     2287 A      2634 A   
   4.50 MeV   1.322E+03  1.581E+02    3.95 um     2417 A      2798 A   
   5.00 MeV   1.415E+03  1.469E+02    4.28 um     2529 A      2943 A   
   5.50 MeV   1.507E+03  1.373E+02    4.59 um     2625 A      3073 A   
   6.00 MeV   1.598E+03  1.291E+02    4.88 um     2709 A      3190 A   
   6.50 MeV   1.690E+03  1.219E+02    5.16 um     2783 A      3295 A   
   7.00 MeV   1.782E+03  1.155E+02    5.43 um     2849 A      3391 A   
   8.00 MeV   1.968E+03  1.048E+02    5.93 um     3001 A      3558 A   
   9.00 MeV   2.157E+03  9.604E+01    6.39 um     3123 A      3697 A   
  10.00 MeV   2.348E+03  8.878E+01    6.82 um     3223 A      3816 A   
  11.00 MeV   2.539E+03  8.264E+01    7.21 um     3307 A      3918 A   
  12.00 MeV   2.728E+03  7.738E+01    7.58 um     3377 A      4007 A   
  13.00 MeV   2.915E+03  7.280E+01    7.92 um     3437 A      4084 A   
  14.00 MeV   3.098E+03  6.878E+01    8.25 um     3489 A      4152 A   
  15.00 MeV   3.277E+03  6.523E+01    8.55 um     3535 A      4213 A   
  16.00 MeV   3.450E+03  6.205E+01    8.84 um     3576 A      4267 A   
  17.00 MeV   3.617E+03  5.920E+01    9.12 um     3612 A      4316 A   
  18.00 MeV   3.778E+03  5.663E+01    9.39 um     3645 A      4360 A   
  20.00 MeV   4.080E+03  5.214E+01    9.89 um     3735 A      4438 A   
  22.50 MeV   4.423E+03  4.753E+01   10.47 um     3846 A      4519 A   
  25.00 MeV   4.728E+03  4.372E+01   11.01 um     3939 A      4587 A   
  27.50 MeV   4.999E+03  4.052E+01   11.52 um     4020 A      4645 A   
  30.00 MeV   5.239E+03  3.780E+01   12.00 um     4090 A      4696 A   
  32.50 MeV   5.451E+03  3.544E+01   12.47 um     4153 A      4740 A   
  35.00 MeV   5.638E+03  3.339E+01   12.91 um     4211 A      4781 A   
  37.50 MeV   5.802E+03  3.157E+01   13.35 um     4264 A      4817 A   
  40.00 MeV   5.946E+03  2.996E+01   13.77 um     4313 A      4850 A   
  45.00 MeV   6.183E+03  2.722E+01   14.59 um     4479 A      4910 A   
  50.00 MeV   6.361E+03  2.497E+01   15.38 um     4629 A      4962 A   
  55.00 MeV   6.494E+03  2.309E+01   16.16 um     4766 A      5008 A   
  60.00 MeV   6.590E+03  2.149E+01   16.92 um     4894 A      5050 A   
  65.00 MeV   6.657E+03  2.011E+01   17.67 um     5016 A      5089 A   
  70.00 MeV   6.701E+03  1.892E+01   18.42 um     5133 A      5125 A   
  80.00 MeV   6.738E+03  1.693E+01   19.90 um     5556 A      5191 A   
  90.00 MeV   6.731E+03  1.534E+01   21.38 um     5948 A      5251 A   
 100.00 MeV   6.695E+03  1.404E+01   22.87 um     6317 A      5307 A   
 110.00 MeV   6.642E+03  1.296E+01   24.37 um     6669 A      5360 A   
 120.00 MeV   6.578E+03  1.204E+01   25.88 um     7010 A      5410 A   
 130.00 MeV   6.510E+03  1.125E+01   27.40 um     7341 A      5459 A   
 140.00 MeV   6.438E+03  1.057E+01   28.94 um     7664 A      5506 A   
 150.00 MeV   6.366E+03  9.965E+00   30.50 um     7981 A      5552 A   
 160.00 MeV   6.295E+03  9.433E+00   32.08 um     8292 A      5597 A   
 170.00 MeV   6.278E+03  8.958E+00   33.67 um     8596 A      5642 A   
 180.00 MeV   6.277E+03  8.531E+00   35.26 um     8891 A      5686 A   
 200.00 MeV   6.207E+03  7.796E+00   38.46 um     9985 A      5771 A   
 225.00 MeV   6.052E+03  7.047E+00   42.53 um     1.15 um     5876 A   
 250.00 MeV   5.915E+03  6.436E+00   46.71 um     1.30 um     5980 A   
 275.00 MeV   5.793E+03  5.928E+00   50.97 um     1.43 um     6083 A   
 300.00 MeV   5.683E+03  5.499E+00   55.33 um     1.56 um     6188 A   
 325.00 MeV   5.581E+03  5.131E+00   59.76 um     1.68 um     6292 A   
 350.00 MeV   5.487E+03  4.812E+00   64.27 um     1.80 um     6398 A   
 375.00 MeV   5.398E+03  4.532E+00   68.86 um     1.91 um     6504 A   
 400.00 MeV   5.314E+03  4.285E+00   73.53 um     2.02 um     6611 A   
 450.00 MeV   5.156E+03  3.867E+00   83.08 um     2.43 um     6829 A   
 500.00 MeV   5.008E+03  3.527E+00   92.91 um     2.80 um     7052 A   
 550.00 MeV   4.868E+03  3.245E+00  103.03 um     3.15 um     7281 A   
 600.00 MeV   4.733E+03  3.007E+00  113.45 um     3.48 um     7515 A   
 650.00 MeV   4.603E+03  2.803E+00  124.15 um     3.79 um     7756 A   
 700.00 MeV   4.478E+03  2.626E+00  135.16 um     4.10 um     8003 A   
 800.00 MeV   4.239E+03  2.335E+00  158.11 um     5.23 um     8518 A   
 900.00 MeV   4.014E+03  2.105E+00  182.34 um     6.26 um     9062 A   
   1.00 GeV   3.804E+03  1.918E+00  207.93 um     7.23 um     9638 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  9.4077E-03                keV / (ug/cm2) 
  9.4077E-03                MeV / (mg/cm2) 
  9.4077E+00                keV / (mg/cm2) 
  8.3513E-02                 eV / (1E15 atoms/cm2)
  3.9225E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
