 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 95.934 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  22.50 MeV   3.932E+03  5.665E+01   10.92 um     3986 A      4584 A   
  25.00 MeV   4.167E+03  5.215E+01   11.53 um     4101 A      4667 A   
  27.50 MeV   4.375E+03  4.837E+01   12.10 um     4200 A      4739 A   
  30.00 MeV   4.561E+03  4.515E+01   12.66 um     4289 A      4803 A   
  32.50 MeV   4.729E+03  4.236E+01   13.19 um     4369 A      4859 A   
  35.00 MeV   4.882E+03  3.992E+01   13.70 um     4442 A      4911 A   
  37.50 MeV   5.021E+03  3.777E+01   14.20 um     4509 A      4958 A   
  40.00 MeV   5.150E+03  3.586E+01   14.69 um     4571 A      5001 A   
  45.00 MeV   5.380E+03  3.260E+01   15.64 um     4779 A      5077 A   
  50.00 MeV   5.577E+03  2.993E+01   16.54 um     4962 A      5145 A   
  55.00 MeV   5.748E+03  2.769E+01   17.42 um     5127 A      5204 A   
  60.00 MeV   5.897E+03  2.578E+01   18.27 um     5279 A      5258 A   
  65.00 MeV   6.025E+03  2.414E+01   19.11 um     5418 A      5307 A   
  70.00 MeV   6.137E+03  2.271E+01   19.93 um     5549 A      5353 A   
  80.00 MeV   6.317E+03  2.033E+01   21.53 um     6007 A      5434 A   
  90.00 MeV   6.451E+03  1.844E+01   23.09 um     6411 A      5507 A   
 100.00 MeV   6.549E+03  1.689E+01   24.62 um     6778 A      5572 A   
 110.00 MeV   6.618E+03  1.559E+01   26.14 um     7117 A      5633 A   
 120.00 MeV   6.665E+03  1.449E+01   27.64 um     7435 A      5689 A   
 130.00 MeV   6.693E+03  1.355E+01   29.13 um     7736 A      5742 A   
 140.00 MeV   6.707E+03  1.273E+01   30.62 um     8024 A      5792 A   
 150.00 MeV   6.709E+03  1.201E+01   32.11 um     8301 A      5841 A   
 160.00 MeV   6.702E+03  1.137E+01   33.60 um     8570 A      5887 A   
 170.00 MeV   6.687E+03  1.080E+01   35.09 um     8831 A      5932 A   
 180.00 MeV   6.666E+03  1.029E+01   36.58 um     9085 A      5976 A   
 200.00 MeV   6.673E+03  9.403E+00   39.58 um     1.00 um     6060 A   
 225.00 MeV   6.705E+03  8.503E+00   43.31 um     1.13 um     6159 A   
 250.00 MeV   6.614E+03  7.770E+00   47.06 um     1.25 um     6254 A   
 275.00 MeV   6.508E+03  7.159E+00   50.87 um     1.36 um     6346 A   
 300.00 MeV   6.402E+03  6.643E+00   54.73 um     1.47 um     6437 A   
 325.00 MeV   6.298E+03  6.200E+00   58.67 um     1.57 um     6527 A   
 350.00 MeV   6.196E+03  5.815E+00   62.67 um     1.67 um     6617 A   
 375.00 MeV   6.096E+03  5.478E+00   66.73 um     1.77 um     6706 A   
 400.00 MeV   5.998E+03  5.180E+00   70.86 um     1.86 um     6796 A   
 450.00 MeV   5.809E+03  4.677E+00   79.33 um     2.22 um     6976 A   
 500.00 MeV   5.630E+03  4.268E+00   88.06 um     2.54 um     7159 A   
 550.00 MeV   5.460E+03  3.927E+00   97.08 um     2.84 um     7346 A   
 600.00 MeV   5.299E+03  3.640E+00  106.37 um     3.13 um     7536 A   
 650.00 MeV   5.145E+03  3.394E+00  115.94 um     3.41 um     7732 A   
 700.00 MeV   4.999E+03  3.181E+00  125.79 um     3.69 um     7933 A   
 800.00 MeV   4.728E+03  2.829E+00  146.36 um     4.70 um     8352 A   
