 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C.txt

 Ion = Strontium [38] , Mass = 94.919 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.738E+02  8.903E+02    1077 A       157 A       137 A   
 110.00 keV   1.823E+02  8.848E+02    1167 A       168 A       147 A   
 120.00 keV   1.904E+02  8.786E+02    1256 A       179 A       157 A   
 130.00 keV   1.982E+02  8.718E+02    1346 A       190 A       167 A   
 140.00 keV   2.057E+02  8.646E+02    1436 A       200 A       177 A   
 150.00 keV   2.129E+02  8.571E+02    1525 A       211 A       186 A   
 160.00 keV   2.199E+02  8.495E+02    1615 A       221 A       196 A   
 170.00 keV   2.266E+02  8.417E+02    1705 A       232 A       205 A   
 180.00 keV   2.332E+02  8.340E+02    1795 A       242 A       215 A   
 200.00 keV   2.583E+02  8.184E+02    1975 A       262 A       233 A   
 225.00 keV   2.879E+02  7.993E+02    2197 A       287 A       256 A   
 250.00 keV   3.042E+02  7.807E+02    2419 A       311 A       279 A   
 275.00 keV   3.144E+02  7.628E+02    2643 A       335 A       301 A   
 300.00 keV   3.220E+02  7.456E+02    2868 A       358 A       323 A   
 325.00 keV   3.288E+02  7.291E+02    3096 A       381 A       345 A   
 350.00 keV   3.357E+02  7.134E+02    3326 A       404 A       367 A   
 375.00 keV   3.432E+02  6.984E+02    3557 A       427 A       389 A   
 400.00 keV   3.513E+02  6.840E+02    3791 A       449 A       411 A   
 450.00 keV   3.697E+02  6.572E+02    4262 A       495 A       454 A   
 500.00 keV   3.904E+02  6.327E+02    4736 A       539 A       497 A   
 550.00 keV   4.126E+02  6.102E+02    5212 A       582 A       540 A   
 600.00 keV   4.357E+02  5.894E+02    5687 A       624 A       582 A   
 650.00 keV   4.590E+02  5.703E+02    6161 A       663 A       623 A   
 700.00 keV   4.820E+02  5.526E+02    6634 A       702 A       664 A   
 800.00 keV   5.261E+02  5.207E+02    7572 A       780 A       744 A   
 900.00 keV   5.666E+02  4.929E+02    8501 A       852 A       820 A   
   1.00 MeV   6.031E+02  4.684E+02    9420 A       920 A       894 A   
   1.10 MeV   6.355E+02  4.466E+02    1.03 um      983 A       966 A   
   1.20 MeV   6.645E+02  4.271E+02    1.12 um     1042 A      1035 A   
   1.30 MeV   6.906E+02  4.094E+02    1.21 um     1099 A      1102 A   
   1.40 MeV   7.142E+02  3.934E+02    1.30 um     1153 A      1168 A   
   1.50 MeV   7.360E+02  3.788E+02    1.39 um     1204 A      1231 A   
   1.60 MeV   7.564E+02  3.655E+02    1.48 um     1254 A      1293 A   
   1.70 MeV   7.757E+02  3.531E+02    1.57 um     1301 A      1353 A   
   1.80 MeV   7.941E+02  3.418E+02    1.65 um     1347 A      1412 A   
   2.00 MeV   8.294E+02  3.214E+02    1.83 um     1443 A      1525 A   
   2.25 MeV   8.717E+02  2.995E+02    2.04 um     1559 A      1660 A   
   2.50 MeV   9.131E+02  2.809E+02    2.25 um     1664 A      1787 A   
   2.75 MeV   9.544E+02  2.647E+02    2.45 um     1760 A      1907 A   
   3.00 MeV   9.961E+02  2.505E+02    2.65 um     1849 A      2021 A   
   3.25 MeV   1.038E+03  2.380E+02    2.85 um     1930 A      2128 A   
   3.50 MeV   1.081E+03  2.268E+02    3.04 um     2005 A      2230 A   
   3.75 MeV   1.125E+03  2.168E+02    3.23 um     2075 A      2326 A   
   4.00 MeV   1.170E+03  2.077E+02    3.41 um     2139 A      2417 A   
   4.50 MeV   1.262E+03  1.919E+02    3.76 um     2280 A      2585 A   
   5.00 MeV   1.356E+03  1.786E+02    4.09 um     2401 A      2735 A   
   5.50 MeV   1.453E+03  1.673E+02    4.41 um     2506 A      2870 A   
   6.00 MeV   1.552E+03  1.574E+02    4.70 um     2596 A      2992 A   
   6.50 MeV   1.652E+03  1.488E+02    4.99 um     2675 A      3102 A   
   7.00 MeV   1.753E+03  1.412E+02    5.26 um     2745 A      3201 A   
   8.00 MeV   1.956E+03  1.283E+02    5.76 um     2905 A      3374 A   
   9.00 MeV   2.158E+03  1.178E+02    6.21 um     3032 A      3519 A   
  10.00 MeV   2.356E+03  1.090E+02    6.63 um     3135 A      3642 A   
