 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Aluminum.txt

 Ion = Rubidium [37] , Mass = 95.934 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  65.00 MeV   8.191E+03  5.493E+01   12.41 um     4827 A      5886 A   
  70.00 MeV   8.419E+03  5.170E+01   13.00 um     4922 A      5967 A   
  80.00 MeV   8.843E+03  4.634E+01   14.15 um     5220 A      6111 A   
  90.00 MeV   9.228E+03  4.205E+01   15.25 um     5477 A      6237 A   
 100.00 MeV   9.576E+03  3.854E+01   16.31 um     5703 A      6349 A   
 110.00 MeV   9.890E+03  3.561E+01   17.33 um     5906 A      6450 A   
 120.00 MeV   1.017E+04  3.312E+01   18.33 um     6090 A      6542 A   
 130.00 MeV   1.043E+04  3.097E+01   19.29 um     6259 A      6626 A   
 140.00 MeV   1.065E+04  2.911E+01   20.24 um     6416 A      6705 A   
 150.00 MeV   1.085E+04  2.747E+01   21.17 um     6563 A      6778 A   
 160.00 MeV   1.103E+04  2.602E+01   22.08 um     6702 A      6846 A   
 170.00 MeV   1.119E+04  2.472E+01   22.97 um     6833 A      6911 A   
 180.00 MeV   1.133E+04  2.356E+01   23.86 um     6959 A      6973 A   
 200.00 MeV   1.156E+04  2.155E+01   25.60 um     7403 A      7087 A   
 225.00 MeV   1.166E+04  1.950E+01   27.75 um     8023 A      7219 A   
 250.00 MeV   1.171E+04  1.782E+01   29.89 um     8591 A      7340 A   
