 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 93.915 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 160.00 keV   3.025E+02  1.634E+03     823 A       208 A       166 A   
 170.00 keV   3.118E+02  1.624E+03     869 A       218 A       174 A   
 180.00 keV   3.208E+02  1.613E+03     915 A       228 A       182 A   
 200.00 keV   3.736E+02  1.591E+03    1007 A       247 A       197 A   
 225.00 keV   4.409E+02  1.562E+03    1120 A       271 A       216 A   
 250.00 keV   4.841E+02  1.533E+03    1232 A       293 A       235 A   
 275.00 keV   5.134E+02  1.505E+03    1343 A       315 A       254 A   
 300.00 keV   5.348E+02  1.477E+03    1456 A       337 A       272 A   
 325.00 keV   5.520E+02  1.450E+03    1569 A       358 A       290 A   
 350.00 keV   5.672E+02  1.423E+03    1683 A       380 A       308 A   
 375.00 keV   5.816E+02  1.398E+03    1797 A       401 A       326 A   
 400.00 keV   5.960E+02  1.373E+03    1913 A       422 A       343 A   
 450.00 keV   6.255E+02  1.326E+03    2147 A       463 A       379 A   
 500.00 keV   6.565E+02  1.283E+03    2383 A       504 A       414 A   
 550.00 keV   6.886E+02  1.242E+03    2621 A       545 A       449 A   
 600.00 keV   7.210E+02  1.205E+03    2861 A       584 A       483 A   
 650.00 keV   7.533E+02  1.170E+03    3102 A       622 A       518 A   
 700.00 keV   7.851E+02  1.137E+03    3343 A       660 A       552 A   
 800.00 keV   8.461E+02  1.077E+03    3827 A       733 A       620 A   
 900.00 keV   9.030E+02  1.024E+03    4313 A       803 A       687 A   
   1.00 MeV   9.559E+02  9.773E+02    4798 A       870 A       753 A   
   1.10 MeV   1.005E+03  9.351E+02    5284 A       934 A       818 A   
   1.20 MeV   1.051E+03  8.969E+02    5768 A       996 A       881 A   
   1.30 MeV   1.094E+03  8.623E+02    6252 A      1055 A       944 A   
   1.40 MeV   1.135E+03  8.307E+02    6734 A      1112 A      1005 A   
   1.50 MeV   1.175E+03  8.017E+02    7215 A      1167 A      1065 A   
   1.60 MeV   1.213E+03  7.750E+02    7694 A      1219 A      1124 A   
   1.70 MeV   1.249E+03  7.503E+02    8172 A      1270 A      1181 A   
   1.80 MeV   1.285E+03  7.274E+02    8646 A      1319 A      1238 A   
   2.00 MeV   1.356E+03  6.861E+02    9588 A      1415 A      1348 A   
